,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t)
0,0.00082658074,0.00016199422,0.017099608,0.0067202454,0.008573899,0.019890621,-0.004432002,0.025194885,0.005173477,0.02648763,0.003743854,0.006789767,0.019879563,-0.009725686,-0.00015811878,0.0060327696,0.010902204,-0.010721595,0.010062322,0.03440981
1,-0.0022829142,-0.0014649486,0.005618174,0.013690161,-0.017028585,0.012403211,0.07697135,-0.006289795,0.053543087,0.00055605266,-0.008864941,0.03343604,-0.004995048,0.025311716,0.004593444,0.001854789,0.0024744207,-0.005802534,0.015583713,0.110950604
2,0.032114495,0.09313248,0.00028310402,0.029568348,0.03664588,0.08298887,-0.007807993,0.0480919,0.009507639,-0.0037051258,0.046224754,0.020471707,0.0069143004,-0.0043903682,0.03608297,0.022568462,0.008383375,0.035845667,0.033408023,0.08242274
3,-0.020203367,0.10008209,0.023536999,0.027824827,0.011213524,0.07522253,-0.07006355,0.007881161,0.046339903,0.006672274,0.0063351262,0.046666775,-0.0017242136,-0.008285647,0.03696968,-0.015770623,0.041618414,0.05863041,0.06069289,0.09067646
4,0.046689607,0.02443215,0.09317289,0.0057923747,0.0050294087,-0.015242168,-0.109988846,0.043951552,0.07971372,0.032189332,0.033662535,0.025765408,0.04825332,-0.044203814,0.020876331,0.033521872,0.019316155,0.053508848,0.07235228,0.12681282
5,0.013613843,0.027552413,0.028554225,0.06288047,-0.0011641011,-0.028329741,-0.1451261,-0.008569592,0.067360066,0.021597259,0.0022787252,0.054252397,-0.0046734456,-0.069896996,0.006186856,0.02567225,0.047995366,-0.059036344,0.0049585905,0.14403847
6,0.032775953,0.016469466,-0.013314118,0.025982175,-0.019138403,0.0027677985,-0.06712909,0.030540222,0.053512197,0.04242434,0.024271224,0.001264682,0.026246227,0.051975366,0.0153587125,0.04385737,0.022810854,0.0007777967,0.04659831,0.062416043
7,0.0077254856,0.02743278,0.036972966,0.06903381,-0.01720616,-0.03435678,-0.05156921,-0.003336615,0.014071522,0.008838814,0.006293153,0.028750712,0.07387779,-0.050269306,-0.0044921995,0.03406014,-0.0016038704,-0.009899087,0.015688283,0.15924743
8,0.021196121,0.010396502,0.010312816,0.018128349,-0.06092968,0.10579891,-0.08010241,-0.016632736,0.035510626,0.03978867,0.124160565,0.054328308,-0.014108532,-0.0042217635,0.078586735,0.01406741,0.026466884,0.023423465,0.041995507,0.10964711
9,-0.0046794177,0.027337037,0.0715441,0.024261927,0.034999546,0.040874675,-0.12659216,0.05346137,-0.0043217987,-0.044649206,0.060515545,-0.017992198,0.121131554,0.043609366,0.085466996,0.042791493,0.05987927,-0.077735715,0.06529447,0.13240987
