,x0(t),x1(t),x2(t),x3(t),x4(t)
0,0.019804318,0.015084871,0.035105634,0.010185855,0.00894522
1,0.04610756,0.14955468,0.0527431,0.07348116,0.0014425525
2,0.12693898,0.09471358,0.09100543,0.045886207,0.010590966
3,0.035058796,0.13839386,0.053291712,0.07179384,2.4169745e-05
4,0.12770268,0.101612404,0.08470553,0.041269045,0.0038366793
5,0.030753797,0.12074847,0.05273223,0.06653394,0.077833764
6,0.16512975,0.13262814,0.17956391,0.08497529,0.0020079147
7,0.043604363,0.23352236,0.107455954,0.10899655,0.00055600586
8,0.054819424,0.19263989,0.13693601,0.08279321,0.0068573914
9,0.044867538,0.12011979,0.11927653,0.114976935,0.0003927632
10,0.06637903,0.14621834,0.0859122,0.07212034,0.0007519729
11,0.037165333,0.14021224,0.111112595,0.064496435,0.008031304
12,0.085679084,0.100199014,0.08331177,0.058555134,0.0011118508
13,0.03070526,0.10862508,0.06410763,0.057173032,0.0015386194
14,0.037342377,0.11096434,0.06709564,0.046119433,0.00050078105
15,0.03457439,0.0639479,0.13030216,0.07525565,0.004519097
16,0.05849666,0.24885604,0.15234724,0.07504103,0.006843883
17,0.044223964,0.13323633,0.1296097,0.079479374,0.003745639
18,0.057230942,0.11748944,0.07165151,0.064340815,0.06321451
19,0.06503952,0.097401425,0.09640005,0.073978044,4.512853e-06
20,0.076517016,0.1475655,0.049113985,0.07082825,0.001423909
21,0.038916398,0.08088073,0.18515584,0.06066992,0.0031441743
22,0.053737268,0.12832612,0.04265378,0.07236954,0.028560426
23,0.08168354,0.11332334,0.12888259,0.07784928,0.000117800344
24,0.045565307,0.12955001,0.059105083,0.07685006,0.00046504382
25,0.07035487,0.107051745,0.06503792,0.05477229,0.09152406
26,0.0731544,0.14667718,0.13197882,0.07376975,0.0033935453
27,0.06547111,0.13768822,0.07620079,0.08423854,0.058610324
28,0.17893615,0.1127627,0.14782536,0.090841696,0.039514266
29,0.071655475,0.19697079,0.086562805,0.22363642,0.013209997
30,0.12120719,0.13863036,0.113520935,0.17251644,0.014233495
31,0.10247741,0.17495145,0.0941695,0.10907033,0.02523921
32,0.20400003,0.14009187,0.10187518,0.09037988,0.026769003
33,0.09749949,0.2076145,0.10847807,0.1510212,0.016391205
34,0.09227062,0.15028997,0.1232788,0.11138507,0.026749248
35,0.08802,0.22067684,0.13716565,0.089506805,0.044953782
36,0.07092702,0.16180922,0.16968736,0.095550045,0.011182708
37,0.06286935,0.15119845,0.12981768,0.10666251,0.004318526
38,0.057596948,0.124409966,0.14583884,0.08952281,0.022575906
39,0.056214586,0.17020218,0.073682,0.082220405,0.01939937
40,0.07251633,0.093744494,0.10125572,0.08565715,0.013416538
41,0.062091973,0.12518623,0.10045824,0.08231962,0.0032500734
42,0.10379745,0.11354485,0.065675825,0.062998936,0.049794078
43,0.14180844,0.13908201,0.09688347,0.12235038,0.0022228896
44,0.062791124,0.15049158,0.074110076,0.09104469,0.014271959
45,0.077274434,0.13284445,0.091627255,0.060600385,0.0036210543
46,0.06331269,0.1874361,0.0692168,0.06017443,0.022790859
47,0.042765416,0.11350231,0.10727192,0.066640556,0.001174677
48,0.033983614,0.092094444,0.057589162,0.05793075,0.022447733
49,0.047694,0.08426556,0.06174588,0.08911556,0.024795713
50,0.060547512,0.15438044,0.056036722,0.10123077,0.023928951
51,0.06579369,0.16919991,0.090632536,0.1416421,0.0006728535
52,0.07288376,0.115329765,0.09126046,0.11324379,0.0013340256
53,0.057533834,0.11156623,0.06501385,0.071409784,0.0044867615
54,0.06863908,0.21418338,0.060312442,0.049813397,0.015775682
55,0.03298732,0.14865808,0.123885885,0.110068664,0.0015800789
56,0.06274489,0.14405291,0.17827424,0.10144259,0.014504456
57,0.06149476,0.19427037,0.079300284,0.17052841,0.0053313253
