,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0077045234,0.02380314,0.022092422,0.01068918,0.042123232,0.011195891,0.07034398,0.00589821,0.0061029773,0.035314515,0.0020090668,0.051363435,0.053654354,-0.0043037785,0.022189101,0.07155245,0.044151388,0.0048056985,0.010412343,-0.00066100294,0.01501217,0.014336528,0.098786905,0.033718362,0.07883444,0.020176984,0.007998183,0.015147887,-0.019184303,-0.0044787135,0.0037486982,-0.0049988893,0.0027732125,-0.0014142469,0.028150544,0.03325207,2.8651948e-05,0.12171821,0.0027045237,0.02380314,0.022092422,0.01068918,0.037123233,0.02119589,0.06784398,0.00589821,0.0061029773,0.025314514,0.0070090666,0.051363435,0.038654353,0.0006962213,0.022189101,0.07905245,0.03415139,0.0023056986,0.005412343,0.004338997,0.01001217,0.024336528,0.10378691,0.048718363,0.081334434,0.027676985,0.015498184,0.00014788723,0.000815697,0.010521286,0.008748698,1.1107471e-06,0.0002732125,0.0060857525,0.033150543,0.025752073,2.8651948e-05,0.119218215
2,0.04556291,0.017784428,0.028851844,-0.03044029,0.050786678,-0.0021221696,0.16756257,-0.01333167,0.0051106843,0.07124296,0.14260554,-0.03220659,0.06546752,-0.015390612,0.006870387,0.010708409,0.06111891,0.04776108,0.024285065,-0.00015481503,0.0757755,0.031666167,-0.060154058,-0.012624921,0.019217124,0.0066406117,0.035828695,0.10322845,-0.024816282,-0.017736495,0.008378413,0.0052755894,0.0056585437,0.039802387,0.08255912,0.02263171,0.0031615624,0.014448257,0.0345167,0.0077082478,0.028851844,0.009881943,0.0013526235,0.0020632984,0.13888757,0.0021232315,0.01074242,0.03805515,0.14227504,1.6293787e-05,0.016408581,0.00279527,0.013081156,0.010756315,0.029531589,0.05150118,0.0014871842,0.001719534,0.038674675,0.025209216,9.236103e-05,1.9391082e-09,0.015395645,0.007705812,0.05450026,0.005941155,0.008892044,0.0012391135,0.038073074,0.010988692,0.0032641224,0.066796534,0.0871709,0.0076477067,0.00026623713,0.01731819
3,0.015895035,0.02807474,0.04080582,-0.051125854,0.018482406,-0.025570484,-0.016140647,-0.033608504,0.034685522,0.025811631,0.04095544,-0.08138843,0.048776623,0.004216614,0.058845274,0.11591645,0.13044597,-0.033599153,0.014557177,0.010106332,0.06858446,0.03520867,0.02679157,-0.0246418,-0.009998931,-0.0327039,0.017587485,0.042687763,-0.06857005,-0.057207838,-0.00822979,-0.028294392,-0.013378603,0.23217592,0.052055463,0.059856035,0.099272735,0.0421486,0.0014691125,0.0047095255,0.04080582,0.060887992,0.014770878,0.012793632,5.3005293e-05,0.024385266,0.068384066,0.004027178,0.04087803,0.009058692,0.002954736,0.0038380404,0.020179445,0.13605283,4.338194e-05,0.00013942782,0.0068582753,0.014295538,0.0036393688,0.06994568,0.026906684,0.003743702,0.016529394,0.00048697792,0.007907969,0.004980049,0.0045776656,0.027993592,0.018663496,0.008903447,6.9087306e-05,0.25164524,0.07707883,0.0011055695,0.00542454,0.017745774
4,0.03813345,0.024152404,0.012820563,-0.04591963,0.016006975,0.025483781,-0.01448239,-0.15187362,-0.035158493,0.008280146,0.04104766,-0.007595567,-0.02065632,0.02306966,0.0018508155,0.0200863,0.12322576,0.0028085476,0.081707515,0.054124914,0.03452047,0.028417237,-0.035068262,0.046411563,-0.11722055,-0.05314336,0.0053867344,0.0494896,-0.051100142,-0.00925714,0.11721636,0.08945203,-0.1061659,0.09101549,0.023781428,-0.05014273,-0.005916463,0.07535159,0.017730542,0.006918413,0.012820563,0.04343408,0.019302145,0.0014160404,0.006038819,9.7458615e-05,0.0032486308,0.014682132,0.046100825,0.0011383614,0.0016770945,0.008079665,0.025990063,0.0048387703,0.049257513,0.012832103,0.012471165,0.050010018,0.0036976165,0.004321564,0.0025251529,0.037018135,0.018198233,0.09604057,0.004449399,0.0046875332,0.012047576,0.02682477,0.07260706,0.10409773,0.005703732,0.0015813303,0.016056055,0.00029975933,0.0037271173,0.0015261236
5,0.020410892,0.009496411,0.02930511,-0.05597582,0.08299139,0.044774037,0.0621983,-0.05515121,0.10586946,0.052992288,-0.016904049,-0.054315574,-0.047865763,0.067448944,-0.031503625,-0.049272723,0.09591592,-0.006485936,0.14354771,-0.05033859,0.028644642,-0.02084067,0.038564004,0.06501056,-0.12679581,-0.10173884,0.04588065,0.066587016,0.007646311,0.007918808,-0.052018754,-0.016855732,-0.062415715,0.09272463,-0.023780357,0.06517567,0.08198778,0.07519908,0.0140006095,0.00029906444,0.02930511,0.01278804,0.01917855,0.08897944,0.00016874584,0.0220451,0.06452151,0.039529838,0.0101584075,0.01438004,0.018421797,0.008893139,0.01487069,0.016410574,0.017722463,0.0020342665,0.06382305,0.008269594,0.0019950862,0.00039417786,0.054531127,0.122591205,0.008179967,0.0011677133,0.07984528,0.0060332716,0.03175359,0.0076598926,1.592839e-05,0.0050500287,0.01066799,0.057416487,0.0006216811,0.024531567,0.046545126,0.00023428113
6,0.02888817,-0.033563465,0.017779162,0.07244187,0.03726386,0.038717616,0.028741457,0.0045559052,-0.007546477,0.053631887,0.04291235,-0.046085328,-0.075812474,0.02005454,-0.03126411,-0.03796888,0.055065237,-0.015201721,0.03262274,0.052345842,0.1347757,-0.17566156,-0.08841611,-0.09152875,-0.057187047,-0.06060938,0.08756244,0.0922876,-0.07404983,-0.00839819,-0.021004792,-0.018680487,-0.037109166,-0.008309493,0.03814125,0.059569117,-0.06319647,0.046522114,0.014235615,0.0012670376,0.017779162,0.08503043,0.0090818,0.00031722456,0.0114304805,0.034272175,0.032785222,0.06646735,0.017743057,0.012589426,0.00033869085,3.2090477e-09,0.00088852434,2.025162e-07,0.0052720015,0.0077361087,0.0613388,0.026336463,0.08174474,0.015179068,3.1584153e-05,0.0049554477,0.0041662273,8.100169e-06,0.0021691492,0.0014778071,0.02016759,0.0005083264,0.013323288,0.0030689912,0.021651244,0.0066390284,0.010233429,0.009612446,0.0009288152,0.024167815
7,0.008890729,-0.021037497,0.0033377616,0.028554056,0.18814576,0.10525144,0.08750231,0.18095472,0.012836508,0.080197364,0.02143209,-0.0061175753,-0.06488266,0.111246996,-0.06800244,0.038304947,0.059315316,0.011372376,0.15412799,0.010598546,0.037627246,-0.032180164,0.007709481,-0.04666352,-0.006352631,-0.07759815,0.02895318,0.10125242,0.012196925,0.13107851,0.04998926,-0.024097513,0.107073456,-0.018721817,0.096356675,0.13244365,-0.04218702,-0.024895452,1.1487778e-06,0.0036730985,0.0033377616,0.025806043,0.12307972,0.0028075795,0.00019377632,0.13164476,0.090726756,0.035852175,0.04760501,0.0059752003,0.037199967,0.10964136,0.0023426209,0.110027246,0.00010143839,0.00064849446,0.06326175,9.61497e-05,6.797751e-05,0.017974336,0.13215134,0.00045600638,0.00030113079,0.005705248,0.005136489,0.0006890037,0.00041598966,0.07891948,0.034835182,0.006196427,0.08402071,0.001094592,0.038957093,0.036955323,0.016156066,0.010959857
8,0.018258942,0.15589662,0.09027108,0.18745908,0.026887763,0.16062841,-0.01799772,0.09656335,0.010026548,0.041357297,0.08832189,0.047810707,0.017386321,0.025828743,0.044919003,-0.09337242,0.028227583,-0.017833155,0.054114733,-0.012338969,0.019629367,-0.11974277,0.015680887,-0.004631534,0.17217812,-0.054853957,0.013644302,0.0030494712,-0.11900836,-0.02847961,0.14078839,-0.016225258,-0.0062755737,-0.047643684,0.03907712,0.13894579,-0.021217927,0.039359637,0.01659006,0.12219487,0.09027108,0.09423542,3.4995137e-05,0.065701395,0.007835598,0.026114019,0.0038455413,0.025602462,0.09362116,0.0010844982,0.0017291683,0.051704146,0.008143023,0.0014974804,0.019767836,0.015666831,0.007242236,0.012655661,0.00022557723,0.038659878,0.056747824,0.01031219,0.07498949,0.00075515034,0.0013719811,6.175366e-06,0.020002726,0.037887316,0.07015012,0.011310531,0.0027514768,0.062585734,3.9048187e-05,0.040863402,0.018821627,0.05715161
9,0.046339113,0.16638206,0.005353342,0.23713556,0.023730006,0.12389696,0.22248429,0.09811564,0.08272877,0.033721782,0.007915594,0.05735268,-0.04592604,-0.06099247,-0.023753945,-0.06253792,-0.02282547,0.030746767,0.042965792,-0.06709497,-0.0013502913,-0.08144834,-0.06750958,-0.16568556,0.109503835,0.012454033,-0.018794144,0.074374914,0.015714424,0.040588174,-0.012163014,0.002390956,0.107390106,0.12218294,0.059363615,0.09524005,0.011010927,-0.039723016,0.0012035748,0.15366565,0.005353342,0.1686833,0.032679174,0.027723785,0.13009155,0.033245515,0.022149257,1.7416845e-06,0.0017461088,7.2149276e-05,0.014000371,7.383351e-06,0.005470848,1.1189364e-05,0.000746449,0.028534094,0.010053726,0.0032992319,0.00069717015,0.010752398,0.0038998753,0.01479461,0.03431558,0.00150401,0.0005246666,0.03462196,0.00051688333,0.00069546286,0.009295533,0.0077180592,0.06675411,0.16030969,0.0144561315,0.039658807,0.010601261,0.0095653115
