,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.029362544,0.03909944,0.0045339107,0.035627156,0.032917414,0.041841224,0.08540698,0.016108435,0.016613005,0.029156223,0.023601072,0.024362545,0.03159944,0.0045339107,0.023127155,0.017917413,0.036841225,0.08040698,0.0036084354,0.0016130052,0.011656222,0.016101072
2,0.0563493,0.09056197,0.01054288,0.05541586,0.07487962,0.015286494,0.023182698,0.040230073,0.0725418,0.07480952,0.015146287,0.041668028,0.06367161,0.01054288,0.022453437,0.03502659,0.0130195385,0.020915743,0.0010478513,0.047642518,0.034963906,0.0022122744
3,0.030008936,0.062632404,0.05597101,0.0878462,0.08908981,0.033207852,0.09600852,0.056854796,0.06286661,0.10993827,0.024849333,0.0018342856,0.003264093,0.05597101,0.052291017,0.037619513,0.027936414,0.090737075,4.903006e-05,7.537875e-05,0.0022936068,0.014640469
4,0.015115043,0.05428844,0.0010368518,0.0754386,0.091477334,0.028035617,0.10947052,0.16144142,0.12913394,0.1702722,0.026928255,0.000110574605,0.015470004,0.0010368518,0.015191063,0.012213049,5.0111386e-05,0.08148501,0.0795655,0.0177519,0.033480812,0.0005108369
5,0.008042057,0.06739468,0.014973356,0.029205104,0.06901506,0.014508896,0.0012914848,0.20521107,0.1761272,0.28080842,0.016751556,0.00048453547,0.036471702,0.014973356,0.0010967604,0.0025441526,0.013990469,0.0007730589,0.14665155,0.009751964,0.031524997,0.003028215
6,0.004035111,0.043315016,0.03956831,0.03185023,0.050306167,0.06787905,0.028135141,0.03882585,0.35230997,0.34191936,0.012586112,1.4082573e-05,0.007607164,0.03956831,0.00026043155,5.2290958e-05,0.060392372,0.020648463,4.0647133e-06,0.10181356,0.003544739,0.00046699482
7,0.0026519983,0.08558608,0.029895855,0.12983471,0.061869457,0.030195769,0.059745394,0.13534184,0.22347966,0.3809963,0.051148795,0.00063444284,0.062919796,0.029895855,0.06528228,0.003561477,0.0104116155,0.039961237,0.08172613,0.013322886,0.0065061487,0.034963664
8,0.0258722,0.08159074,0.041403167,0.062775195,0.07481406,0.02013789,0.014995604,0.10421349,0.28768784,0.41058645,0.121372625,0.024546202,0.038134698,0.041403167,0.011332861,0.0032820264,0.0051899618,4.7675832e-05,0.002876715,0.014570837,0.008218905,0.08832426
9,0.013007695,0.04804849,0.033276953,0.05538834,0.11494404,0.06051888,0.025550488,0.06775448,0.29164544,0.4178252,0.11648035,7.159455e-05,0.0007850677,0.033276953,0.0042201253,0.001465431,0.039817296,0.004848906,0.0005839305,0.013543867,0.00088747166,0.045443248
10,0.0066623613,0.14193636,0.029929336,0.14232531,0.14546393,0.031749964,0.040424928,0.08322894,0.3121564,0.40896103,0.08237901,0.00015851385,0.11466019,0.029929336,0.08341527,0.0063027698,0.0151114855,0.023786452,0.02007369,0.052728087,0.0065013818,0.015819605
11,0.03425037,0.15217736,0.020081395,0.07168387,0.138301,0.03676352,0.019626573,0.18628874,0.28311986,0.4541514,0.061946593,0.030919189,0.0795436,0.020081395,0.005360127,0.008959704,0.021798851,0.0046619037,0.06422217,0.022060221,0.016396891,0.013274753
12,0.0904925,0.08526282,0.010634284,0.07756719,0.117426015,0.027089052,0.038504437,0.08818753,0.34728435,0.51117176,0.03688716,0.07336731,0.00061154395,0.010634284,0.011100397,0.0030909954,0.017048355,0.028463738,9.002723e-05,0.017023604,0.03147082,0.00089351647
