,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x0(t-1),x1(t-1),x2(t-1),x3(t-1),x4(t-1),x5(t-1),x6(t-1),x7(t-1),x8(t-1),x9(t-1),x10(t-1),x11(t-1),x12(t-1),x13(t-1),x14(t-1),e0(t),e1(t),e2(t),e3(t),e4(t),e5(t),e6(t),e7(t),e8(t),e9(t),e10(t),e11(t),e12(t),e13(t),e14(t)
0,0.054313738,0.006129046,0.038975183,0.044789426,0.03694702,0.026311506,0.027847253,0.038299195,0.022093024,0.030104795,0.02538873,0.11781315,0.008024129,0.0029744687,0.059891637,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04931374,0.0011290462,0.033975184,0.044789426,0.03194702,0.0013115065,0.007847254,0.028299198,0.0020930236,0.00010479785,0.005388731,0.10281315,0.00052412937,0.0029744687,0.044891637
1,0.14727606,0.022654895,0.05634927,0.0017424216,0.030946001,0.14541405,0.045199025,0.039862715,0.1240111,0.12871234,0.092154995,0.049879864,0.097103655,0.021826815,0.12995894,0.054313738,0.006129046,0.038975183,0.044789426,0.03694702,0.026311506,0.027847253,0.038299195,0.022093024,0.030104795,0.02538873,0.11781315,0.008024129,0.0029744687,0.059891637,0.14578882,0.0031673037,0.02640345,0.0017424216,0.011796403,0.04049984,0.0008803643,1.1482233e-05,0.0023971861,0.05844402,0.008531557,0.008178152,0.06365724,0.021826815,0.029339056
2,0.023258213,0.029420871,0.08327276,0.013227251,0.024888497,0.14715773,0.17589207,0.13239184,0.17965199,0.18351573,0.17825878,0.08267321,0.047962736,0.00063013635,0.058043137,0.14727606,0.022654895,0.05634927,0.0017424216,0.030946001,0.14541405,0.045199025,0.039862715,0.1240111,0.12871234,0.092154995,0.049879864,0.097103655,0.021826815,0.12995894,0.012344806,0.001246237,0.018293293,0.013227251,0.004957139,0.011594477,0.027479887,0.012676307,0.007495791,0.017862339,0.03168524,0.023239763,8.945292e-13,0.00063013635,0.008178999
3,0.07051773,0.046904806,0.029058663,0.0070544253,0.0698676,0.24652204,0.18353753,0.10443671,0.13917746,0.31610012,0.15956019,0.21764225,0.090732336,0.0144573515,0.12141745,0.023258213,0.029420871,0.08327276,0.013227251,0.024888497,0.14715773,0.17589207,0.13239184,0.17965199,0.18351573,0.17825878,0.08267321,0.047962736,0.00063013635,0.058043137,0.07020266,0.0052684243,3.7093785e-05,0.0070544253,0.003671685,0.013661084,0.00810759,0.0036782196,0.0060192444,0.03171742,0.061789673,0.095099516,0.063777305,0.0144573515,0.01955107
4,0.009760579,0.054263927,0.061361358,0.00053083786,0.14589351,0.36213177,0.24142349,0.13745683,0.28139442,0.34274125,0.14539428,0.09235697,0.080890045,0.07127749,0.14587362,0.07051773,0.046904806,0.029058663,0.0070544253,0.0698676,0.24652204,0.18353753,0.10443671,0.13917746,0.31610012,0.15956019,0.21764225,0.090732336,0.0144573515,0.12141745,0.0025319038,0.039734595,0.00065263355,0.00053083786,0.09367516,0.0060900566,0.036361285,0.022417871,0.010526175,0.030282713,0.0012537258,0.0021568844,0.015601877,0.07127749,0.00015143586
5,0.045413736,0.03165075,0.07542878,0.018100701,0.07120274,0.37556317,0.212793,0.083786264,0.2772123,0.498137,0.23711981,0.14350018,0.10961088,0.0006289538,0.09756851,0.009760579,0.054263927,0.061361358,0.00053083786,0.14589351,0.36213177,0.24142349,0.13745683,0.28139442,0.34274125,0.14539428,0.09235697,0.080890045,0.07127749,0.14587362,0.009774989,0.00097007165,0.0024919673,0.018100701,0.0024743262,0.0014633209,0.0016862628,0.006208838,0.044822212,0.034179565,0.0062677898,0.016959123,0.00019571742,0.0006289538,0.001420061
6,0.00279973,0.083783016,0.15347266,0.0015317219,0.09294949,0.38995707,0.24781513,0.20009011,0.2969524,0.42566738,0.21552333,0.12061553,0.07806827,0.029020432,0.13840431,0.045413736,0.03165075,0.07542878,0.018100701,0.07120274,0.37556317,0.212793,0.083786264,0.2772123,0.498137,0.23711981,0.14350018,0.10961088,0.0006289538,0.09756851,0.0024852531,0.046068627,0.104688406,0.0015317219,0.051056355,0.0058270544,0.013285726,0.058823332,0.0056634843,0.035741936,0.06887396,0.025182635,0.018074775,0.029020432,0.017800111
7,0.0148237385,0.0767366,0.12074141,0.041957676,0.1002051,0.5183096,0.2756113,0.12994656,0.2575009,0.5525005,0.26701567,0.24233806,0.08108404,0.014283474,0.14974569,0.00279973,0.083783016,0.15347266,0.0015317219,0.09294949,0.38995707,0.24781513,0.20009011,0.2969524,0.42566738,0.21552333,0.12061553,0.07806827,0.029020432,0.13840431,0.0003135222,2.674645e-07,0.05153926,0.041957676,0.00016004336,0.07333524,0.0023003959,0.020785024,4.8877915e-05,0.00043132718,0.032746248,0.023665156,8.224009e-06,0.014283474,0.0002813797
8,0.025677918,0.1089683,0.13115218,0.0033804995,0.088775456,0.5079512,0.28248933,0.1486574,0.57762766,0.6237357,0.22673759,0.20195363,0.08838115,0.0076652346,0.21470687,0.0148237385,0.0767366,0.12074141,0.041957676,0.1002051,0.5183096,0.2756113,0.12994656,0.2575009,0.5525005,0.26701567,0.24233806,0.08108404,0.014283474,0.14974569,0.01853618,0.048597593,0.056279343,0.0033804995,0.023802178,0.002359376,0.00014811615,0.0077377013,0.1689131,0.055921234,0.00038419102,0.038241338,0.00084217667,0.0076652346,0.009887007
9,0.029645799,0.06978863,0.1128798,0.00084946805,0.07697614,0.5405692,0.3032968,0.21443513,0.37240112,0.6085259,0.28626484,0.1944639,0.1256427,0.001753468,0.1748828,0.025677918,0.1089683,0.13115218,0.0033804995,0.088775456,0.5079512,0.28248933,0.1486574,0.57762766,0.6237357,0.22673759,0.20195363,0.08838115,0.0076652346,0.21470687,0.025813181,0.0042125327,0.0055263676,0.00084946805,0.0026474444,0.010482528,0.00041222785,0.08822738,0.0029194802,0.015084063,0.013354563,7.494553e-05,0.027578259,0.001753468,0.0022633348
