,x0,x1,e0,e1
0,0.01,0.01,0.0,0.0
1,0.0010413637,0.061469067,0.0010413637,0.056469068
2,0.019809663,0.034514323,0.019809663,0.033993643
3,0.021434017,0.02007996,0.021434017,0.010175127
4,0.04456222,0.011930764,0.04456222,0.0012137555
5,0.008519276,0.033411108,0.008519276,0.011129997
6,0.0097822985,0.04319166,0.0097822985,0.03893202
7,0.00077308586,0.0049530305,0.00077308586,6.188144e-05
8,0.111594945,0.0019877164,0.111594945,0.0016011735
9,0.0031658171,0.08335241,0.0031658171,0.027554935
10,0.024391245,0.00273239,0.024391245,0.0011494815
11,0.09984099,0.018936858,0.09984099,0.0067412355
12,0.022944415,0.050000627,0.022944415,8.01301e-05
13,0.09177859,0.017282521,0.09177859,0.0058103134
14,0.02218652,0.09020189,0.02218652,0.044312596
15,0.030103402,0.019289933,0.030103402,0.008196672
16,0.04172593,0.017423484,0.04172593,0.002371783
17,0.0518577,0.021217972,0.0518577,0.00035500643
18,0.016288485,0.042235553,0.016288485,0.016306702
19,1.29238515e-05,0.014979014,1.29238515e-05,0.006834771
20,0.0071254754,0.07086927,0.0071254754,0.07086281
21,0.06848652,0.009286682,0.06848652,0.0057239444
22,0.017543783,0.03977315,0.017543783,0.005529891
23,0.023257006,0.010911431,0.023257006,0.00213954
24,0.033818882,0.016076028,0.033818882,0.004447526
25,0.0031020094,0.030649625,0.0031020094,0.013740184
26,0.112023875,0.0023701272,0.112023875,0.0008191225
27,0.022988725,0.11342263,0.022988725,0.05741069
28,0.0041777855,0.0753955,0.0041777855,0.06390114
29,0.0022454693,0.03531224,0.0022454693,0.033223346
30,0.048409715,0.013095186,0.048409715,0.011972452
31,2.0143196e-05,0.025361657,2.0143196e-05,0.0011567988
32,0.002203132,0.0066463165,0.002203132,0.0066362447
33,0.00016998181,0.01587081,0.00016998181,0.014769243
34,0.011649221,0.00015174727,0.011649221,6.6756365e-05
35,0.011532554,0.048327502,0.011532554,0.04250289
36,0.014658836,0.018450528,0.014658836,0.012684251
37,0.046152275,0.05547162,0.046152275,0.048142202
38,0.009108386,0.042743184,0.009108386,0.019667044
39,0.013336417,0.027837763,0.013336417,0.02328357
40,9.9430996e-05,0.043544337,9.9430996e-05,0.036876127
41,0.033712946,0.010046734,0.033712946,0.009997018
42,0.009469104,0.036892027,0.009469104,0.020035556
43,0.042659674,0.019039983,0.042659674,0.01430543
44,0.015225279,0.04111904,0.015225279,0.0197892
45,0.07885639,0.011513526,0.07885639,0.0039008856
46,0.015142258,0.0505101,0.015142258,0.011081905
47,0.15973979,0.036876246,0.15973979,0.029305119
48,0.046656657,0.08344588,0.046656657,0.0035759828
49,0.028804064,0.09725274,0.028804064,0.073924415
50,0.0037910815,0.014727244,0.0037910815,0.00032521223
51,0.08285623,0.020083804,0.08285623,0.018188262
52,0.0033588146,0.042104285,0.0033588146,0.00067617034
53,0.019364944,0.03740859,0.019364944,0.035729185
54,0.0012199521,0.13354504,0.0012199521,0.12386257
55,0.057441376,0.0011964035,0.057441376,0.0005864274
56,0.021700328,0.028784994,0.021700328,6.430601e-05
57,0.02076331,0.070011705,0.02076331,0.05916154
58,0.008302612,0.03291314,0.008302612,0.022531487
59,0.101297066,0.004224848,0.101297066,7.354175e-05
60,0.07574278,0.061674006,0.07574278,0.011025473
61,0.025603559,0.123287044,0.025603559,0.085415654
62,0.013184137,0.060568616,0.013184137,0.047766834
63,0.004171277,0.0073990785,0.004171277,0.0008070102
64,0.0012907097,0.013567801,0.0012907097,0.011482162
65,0.06885736,0.011123922,0.06885736,0.010478566
66,0.0010163101,0.08568737,0.0010163101,0.051258687
67,0.2192971,0.023699328,0.2192971,0.023191173
68,0.020275977,0.11410552,0.020275977,0.004456974
69,0.0022093612,0.07544853,0.0022093612,0.06531054
