,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t)
0,0.059756607,0.025797177,0.025435295,0.00077323196,0.106435664,0.015263888,0.006176543,0.06775716,0.046814576,0.016514633,0.0031938234,0.027655408
1,0.02126923,0.013013121,0.015672548,0.008476258,0.08491689,0.14024122,0.0315096,0.07465886,0.04341609,0.10552054,0.003796267,0.0414233
2,0.0044453647,0.016204886,0.014887875,0.057773877,0.0510901,0.18462892,0.021745771,0.04675295,0.030359805,0.065316305,0.0067302203,0.06346589
3,0.21182752,0.048570655,0.037587557,0.004857569,0.092497066,0.15142128,0.26350635,0.06252958,0.04514409,0.086701185,0.00081094995,0.05493901
4,0.01143479,0.0201605,0.035155334,0.0044246125,0.04916937,0.15185748,0.023732226,0.17032166,0.0833786,0.059513073,0.004454724,0.046862278
5,0.0041042,0.038388837,0.048359506,0.0021569924,0.027666293,0.19688879,0.062361747,0.06647693,0.027167665,0.16789764,0.010060382,0.123999655
6,0.007845617,0.030869555,0.023517493,0.017550724,0.017576342,0.24154355,0.04485634,0.0454454,0.039533723,0.1386784,0.0010879809,0.09007387
7,0.07739481,0.0121368375,0.079797044,0.009860847,0.020749941,0.21632433,0.020906536,0.051270384,0.026232354,0.12288283,0.0031306748,0.080697335
8,0.001901062,0.04863698,0.015438333,0.000539155,0.015516175,0.19638899,0.03766332,0.068346985,0.021870455,0.08856247,0.0029165596,0.07482674
9,0.0016781925,0.049010728,0.04061798,0.0016918136,0.04037178,0.19367477,0.040964056,0.075680375,0.076366946,0.05150215,0.12169653,0.04502654
10,0.06525456,0.024479166,0.025755538,0.00083175715,0.09746334,0.16602284,0.07114434,0.13513577,0.036626574,0.07898505,0.0019025179,0.04250157
11,0.0011291794,0.064263284,0.013067505,0.03445699,0.16337758,0.19020113,0.041629687,0.23857139,0.038820203,0.040507413,0.015400997,0.043535873
12,0.041691292,0.033615574,0.0496642,0.0046047545,0.09902391,0.24482334,0.04779539,0.07818356,0.08595892,0.07393269,0.0012738212,0.025178961
13,0.008468527,0.026232991,0.026730139,0.0074593346,0.06459969,0.20727174,0.0435468,0.09374775,0.045264307,0.06465763,0.013925199,0.09216051
14,0.008122437,0.06483588,0.049728826,0.014668159,0.05755853,0.24148428,0.03176157,0.050900135,0.038159408,0.1485726,0.012723285,0.03720169
15,0.19911456,0.031519357,0.042400867,0.05229334,0.041642744,0.22048095,0.019407084,0.07611104,0.06563192,0.17426655,0.014527359,0.12028119
