,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t),x26(t),x27(t),x28(t),x29(t),x30(t),x31(t),x32(t),x33(t),x34(t),x35(t),x36(t),x37(t),x38(t),x39(t),x40(t),x41(t),x42(t),x43(t),x44(t),x45(t),x46(t),x47(t),x48(t)
0,0.101897836,0.025903778,0.012669396,-0.009996092,-0.0041735633,0.112133965,0.017815523,0.020117873,0.01678897,0.0033244882,0.0037052725,0.022111084,-0.002091083,0.026447967,0.008577006,0.00096626696,-0.0014090671,0.0047440296,0.010329237,0.0033456655,0.19076519,0.12644127,0.012055978,0.055657517,0.062406067,0.005479783,0.01060341,0.0043239114,0.0104643265,0.004720222,0.0014895687,0.0075824438,0.027719248,0.013712024,0.020106994,-0.0004749056,0.013088583,0.0025773188,0.003203772,-0.003991829,0.019692916,0.021389408,0.025626788,0.0027877777,2.0495554e-05,0.07678156,-0.009506238,-0.0027233064,0.012408324
1,0.082181945,0.13002181,0.0038598892,0.1169777,-0.017352004,-0.025123578,-0.010045142,0.07545896,0.058212765,0.021036558,-0.0076881447,0.06104704,-0.05245864,0.032309778,0.005656123,-0.0059280954,0.024254473,0.162278,0.1232623,-0.0074720047,0.0036495426,0.060358036,-0.031673755,0.026410915,0.0730032,0.01059845,0.0010251463,-0.0014586002,0.026560005,0.059704162,0.07824339,0.15108535,0.037451733,0.046080954,0.04465048,0.1131397,0.060575623,0.07343287,0.040627792,0.001562966,0.0062644184,0.016491324,-0.0057501593,0.021531854,0.017987179,0.033224147,0.021754093,-0.048804168,0.035176553
2,0.02890507,0.064090475,0.07836169,-0.04910349,0.038817547,-0.076004565,-0.022171734,0.045577765,-0.0017181223,-0.07074844,0.03615448,0.07126421,0.06444353,-0.02812327,0.038845066,0.03794918,0.02960682,0.008255512,0.04402806,-0.03064248,-0.030156765,0.008957059,-0.042405497,0.07510406,-0.0035922688,0.008093694,0.010571129,0.06938328,0.07987637,0.07775542,0.012072047,0.036632963,0.046215326,0.11993553,0.11426337,-0.10757604,0.06350961,0.034701936,-0.039414905,0.033291403,-0.032648984,0.04813539,0.0049179047,0.11639868,0.045647733,0.09449099,0.0765125,0.07614682,-0.025998771
3,-0.074612156,0.079202354,0.019550523,0.12108198,0.033326164,-0.030103292,-0.056543123,0.03903865,-0.05483934,-0.009667946,-0.038577072,0.007868568,0.026288778,0.024490226,0.10837877,0.04343628,-0.0019612336,-0.067572705,0.005238695,-0.0044630487,0.0129752755,0.0071964962,-0.049498495,0.019989373,0.18857932,0.049639925,0.0006933808,0.0693467,-0.014719327,-0.07087881,0.18779977,-0.05554624,0.0071252333,-0.005005453,0.061207127,-0.017057823,-0.035826735,-0.0155701395,-0.0035312083,0.06650262,-0.019733319,0.09790912,0.027582517,-0.04301951,0.07644831,0.09129688,-0.025215574,0.05713526,-0.033215024
4,-0.0015500793,0.030010866,-0.024642417,-0.026960706,-0.09176626,0.009204622,-0.030339161,-0.037297864,-0.027710715,-0.050590605,0.032520615,0.048855975,0.07266134,-0.09357449,-0.011445594,0.108597994,0.08096445,0.019563675,0.017882131,0.081678525,0.02884493,0.032087184,-0.12920575,0.05824598,0.013194972,0.03527935,0.0022581734,0.06776909,0.08366254,0.020160519,0.00844054,0.023179028,-0.018734857,-0.037553463,0.16441035,-0.11682892,0.0030642748,-0.07473808,-0.11408662,0.008460045,0.098391935,0.023054788,0.13912874,-0.027300764,0.06331949,0.07359915,-0.01585073,0.0226297,0.02406867
5,0.08550723,0.004860637,0.016033635,-0.04527457,-0.07221181,0.03154866,-0.08083757,-0.00068157277,0.05199729,0.23842424,-0.03136797,0.0639778,0.096158884,-0.0041410374,0.016370907,0.015283067,0.07448905,0.02054409,0.07217751,-0.006600567,0.00970432,0.023587892,-0.06965446,0.039126627,-0.04043954,0.056446563,0.0031560627,0.0025383187,-0.041571334,-0.042469904,0.25493625,0.022843674,-0.010891758,-0.05847329,0.073866576,-0.01625251,0.34953701,0.0134896515,-0.023215398,-0.004474475,0.120131634,-0.003189925,0.04910493,0.02792327,0.0465203,0.08332177,0.028071864,0.04654832,0.037660763
6,0.08052948,0.031083671,0.062751554,0.069602914,-0.017313588,0.00054546003,-0.009911627,0.052331246,0.055477496,0.050225813,0.13823463,0.068165824,0.11044725,0.014951497,-0.038033545,-0.017949076,-0.0052702725,-0.015086845,-0.006262318,0.009739529,-0.16977596,0.007036713,0.04448051,0.0027828729,-0.030579906,0.007692695,0.010402795,0.0038347133,-0.11208764,-0.15298693,-0.17101915,-0.13225998,-0.10217535,0.057430357,0.14688547,-0.14787939,0.12181937,0.072819084,0.044967175,0.15027775,0.04151539,-0.00042807683,0.0038904035,-0.005026859,0.0010598655,-0.000996856,0.09794487,0.042306926,0.072441734
7,-0.036902834,-0.05676832,-0.06606869,0.037900448,0.07250469,0.10207051,-0.06939634,0.08401743,0.010335737,-0.007861704,0.020305734,0.037509702,0.025878629,0.09255162,-0.014664169,0.08472173,0.03822592,-0.104563214,-0.060715273,0.018999625,-0.0018810965,0.0008868369,0.004392475,-0.054955967,-0.08611494,0.03759463,0.015044455,0.037272144,-0.087554425,-0.07808074,-0.0067335293,0.047447577,0.020102095,0.004557928,0.18294865,0.086517885,-0.009688749,0.025814755,0.07568362,0.037468515,0.17657478,-0.017811522,-0.0015277639,-0.0896752,-0.00909221,0.017584529,0.06462325,0.0060942248,0.10199028
8,0.087819904,0.042350207,0.042095076,0.028075475,-0.015441889,-0.031138506,-0.09048221,-0.018438088,0.014975078,0.023408022,0.0045152456,0.079462446,-0.046522323,0.011109101,0.17389241,0.057349764,0.11120793,0.034218654,0.007425436,0.029565573,0.12045106,0.010571735,0.021129858,-0.037708834,0.09725383,0.042418815,0.0019558507,-0.02007911,-0.12503971,0.034504555,-0.008840548,0.09380655,0.035830677,0.02323215,0.23080078,0.010440163,-0.05797244,-0.0412399,-0.09465182,-0.031662427,-0.0024568774,0.041051604,-0.02947485,-0.05053364,-0.013787218,-0.08447729,-0.015812121,-0.12806092,0.07120619
9,0.07624602,0.10027751,0.05879924,0.046434868,-0.11957356,-0.010539789,-0.0932557,0.058151484,-0.004417918,-0.11078329,-0.07013661,0.037856843,0.10397768,0.17015646,0.06446071,0.031404793,0.12378463,0.013902957,0.006739313,-0.01948485,0.03413658,0.0018614747,-0.083305,0.024463018,0.10539222,0.03813127,0.03237413,0.03159185,-0.0058909003,0.043771572,0.022263601,0.17844371,0.061800413,0.0089990795,0.10172071,0.0052475072,0.040885206,0.005367875,-0.14540358,-0.12265402,0.033007383,0.1726719,-0.008876229,0.0064329617,-0.0027469369,0.08424126,0.044554915,-0.012248604,0.0077495836
