,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.015389532,-0.004908547,0.020040967,0.005395217,0.019740218,0.0010952149,0.045683835,0.018525157,0.025765976,0.08188195,-0.008683099,0.008207181,0.0030113433,-0.003304435,0.063541576,0.011412067,0.12790872,0.0035934916,0.013516454,0.00049917353,0.0042903027,0.051823422,-0.0021713316,0.015598456,-0.0024330763,0.06699344,0.010428533,0.001634949,0.017662128,-0.004695817,0.046337154,-0.0077503147,0.07001738,0.0187536,-0.003428759,0.0684566,0.015389532,9.1453265e-05,0.025040967,0.005395217,0.019740218,0.0010952149,0.025683835,0.013525158,0.025765976,0.076881945,0.0013169001,0.02320718,0.0030113433,0.009195564,0.066041574,0.008912068,0.12540872,0.0035934916,0.0035164538,0.0054991734,0.0042903027,0.046823423,0.00032866848,0.0030984574,6.692357e-05,0.05699344,0.0054285326,0.001634949,0.0076621287,0.0003041832,0.031337153,0.0022496853,0.06501738,0.0162536,0.00907124,0.0684566
2,0.1078854,0.0014628968,0.016803874,0.0064306534,0.005309555,0.06046569,0.10312998,0.0077730697,0.032686777,0.020861704,0.006906016,-0.105621874,0.0027612152,0.018703435,0.06519258,0.082871325,0.06383247,0.30921876,0.024178464,0.096983746,-0.006210345,0.0371229,-0.0016705156,0.09803697,-0.026739825,0.0504061,0.053420313,-0.065990195,0.050646197,0.021304488,0.081719585,-0.009745359,0.036924437,0.020156272,0.013799169,0.038680654,0.08363116,0.0013787686,0.00055782276,0.0019215638,0.005309555,0.06046569,0.033792228,0.0036694796,0.0055033113,0.019064957,0.027116444,0.0006962697,0.0027612152,0.039284848,0.008022574,0.071794,0.050162002,0.2750187,0.0019186782,0.09310859,2.7496998e-07,0.024024228,0.0053792833,0.08101433,0.004920109,0.00676095,0.01885962,0.007538103,0.0023855881,0.0015351943,0.033708364,0.068252936,0.036866114,0.0191212,0.011934804,0.012983163
3,0.0441426,0.01455286,0.04183066,-0.119144924,0.008595931,0.01417539,0.08556547,-0.040088736,0.058148913,0.1569827,0.12690966,-0.16355664,0.0011183826,-0.084629394,0.01745142,0.047996752,0.018977722,0.108548895,0.053080425,0.0049517876,0.01865724,0.09131289,-0.05606195,0.078722574,0.06353636,0.030578164,0.033938468,0.02808027,0.07499479,0.0841272,0.105389014,0.2092311,0.0338249,0.2433053,0.0065370644,-0.021659091,0.002447549,0.00018722398,0.01178045,1.753224e-05,0.008595931,0.01417539,0.0020016832,0.012722203,0.010036932,0.0023733233,0.00022189782,0.0056747436,0.0011183826,0.0016212509,0.08019654,0.0008980029,0.00044049392,0.0071518053,0.026658898,7.910809e-05,0.0005136271,0.00032341765,0.014243316,0.007364319,0.00029311603,0.0076458375,0.008374768,0.047829196,0.009156898,0.10427449,0.0002743744,0.056158286,0.0016354441,0.14484674,0.0008113958,0.0021563426
4,0.0993468,-0.027787913,-0.06593737,-0.06164283,0.0022441659,0.0057485253,0.008360991,-0.06239677,-0.009995679,0.056357253,0.10137868,-0.113172926,0.00873517,-0.05835725,-0.03824684,0.09377843,0.03981425,0.050166942,0.16175044,-0.062973306,-0.008955221,0.0935478,0.12740834,0.048031464,0.14998752,0.18830745,-0.026493907,-0.0034189718,-0.021049695,-0.031404294,0.3714851,0.10198604,-0.02752581,0.09354123,0.10557018,0.052217636,0.01862132,0.010032974,0.010297201,6.157219e-07,0.0022441659,0.0057485253,0.030526912,0.01938155,0.010676415,0.0020828068,0.061612405,0.00054673053,0.00873517,0.029142369,0.015150469,0.002667456,0.011008123,0.011745419,0.011023327,0.04164224,0.010497297,7.77302e-06,0.17649965,0.0007278579,0.11056947,0.24544415,0.00015883238,0.008397174,0.00036931274,0.00481094,0.2284828,0.07978993,0.0027522668,0.0002613902,0.0061184834,0.07628984
5,0.16611165,0.006915468,0.25051445,-0.024338895,0.03230137,0.004765424,-0.05926718,-0.029319342,-0.034065567,0.025411442,0.05515426,-0.11239097,0.018188491,-0.082000464,-0.025425723,0.031428616,-0.0020276569,0.017843414,0.053561687,-0.048523493,-0.041847076,0.02286425,0.038973644,0.09591105,0.023750965,0.13104081,0.15377156,0.061338004,-0.046791576,0.08936745,0.05679768,-0.0033303052,0.12473461,0.07137266,0.084966116,0.18212894,0.044073254,0.014453436,0.09764855,0.005115668,0.03230137,0.004765424,0.0025751207,0.02726712,0.012443278,0.00032797104,0.0033631718,0.0095361555,0.018188491,0.007625934,0.02255735,0.0070732054,0.028936043,0.026732678,0.011788912,0.0024695275,0.03615388,0.0041613826,0.033839315,0.018355245,0.01786891,5.6050558e-05,0.0073291743,0.019509729,0.0073839948,0.03111691,0.00014567726,0.06871633,0.15255569,0.073605336,0.0058942973,0.11199095
6,0.22510204,-0.0061892048,0.114056215,0.10958591,0.0032726084,0.0246727,0.015678754,-0.05531975,0.023920864,0.009390712,0.052764725,-0.17687428,0.06727524,-0.049882144,0.18086618,0.11675407,-0.025385153,0.0040320093,0.018855412,0.01184402,0.00040530227,0.013346751,0.0069561834,0.039919656,-0.004520547,0.13473046,-0.08175895,-0.012158269,-0.034215197,0.08794004,-0.05386438,-0.022994641,0.027124094,0.07689913,0.024171675,0.032578453,0.21619003,0.00047089803,0.124801435,0.04127467,0.0032726084,0.0246727,0.027650787,0.000875736,0.081131585,0.00046900474,0.003878201,0.04544813,0.06727524,0.00015931732,0.057345547,0.023325464,0.036143836,0.00096562796,0.00020186513,0.010178868,0.024803434,0.017319802,2.655184e-06,0.01323349,0.0015217778,0.003344511,0.03144993,0.0044027767,0.0003761784,0.033724017,0.0013216553,0.0016972908,0.019745551,0.022900248,0.02902952,0.01501357
7,-0.021263154,0.04522724,-0.055861756,-0.056652017,0.020216662,0.08841412,0.04689496,-0.07996179,0.15518847,0.018259844,0.028331336,-0.15691674,0.0036964153,-0.064812504,0.02153585,0.13713048,0.001048334,0.107025534,0.053383835,0.020267513,0.0051554404,0.07316634,-0.048332322,0.1022085,0.051633753,0.056188103,-0.004990169,-0.016827652,0.048792005,0.030602317,0.08171858,0.018912626,0.08132182,0.008025384,0.07144903,0.096398205,0.009147126,0.029230021,0.006425394,0.053528287,0.020216662,0.08841412,0.0030758858,0.0084753465,0.17373146,0.01624384,0.0031345037,1.0595594e-05,0.0036964153,0.0329689,0.016738847,0.00042831304,0.019787723,0.0027416826,0.0029738361,0.008770191,0.0022467964,0.018534692,0.027205672,0.01705005,0.014297745,0.021234121,0.012225418,0.00010146441,0.03615396,0.059099298,0.017306251,0.00013314093,0.0009543758,0.031248754,0.081555516,0.048992805
8,0.066178404,0.0008878857,0.014573674,0.08004637,0.0035815754,0.00072555983,-0.022922453,-0.05859831,0.038677797,0.056151167,0.07183737,-0.049967736,7.91306e-05,-0.09656068,-0.050028328,-0.031027084,0.034220655,0.009081948,0.17679864,-0.001443739,0.024561634,0.097501256,-0.066091545,0.114374995,0.06698213,0.10774512,0.029153725,0.04731221,0.0073031643,0.021425122,0.048286345,0.058885824,-0.0132550355,-0.015457546,0.1035682,-0.0071644206,0.0011529535,0.065997854,0.00034069672,0.053077,0.0035815754,0.00072555983,0.0001662006,0.019860057,0.029395983,0.0026383994,0.0009520009,0.01670517,7.91306e-05,0.0036887007,0.0011867903,0.00065696385,0.038705554,0.0019552733,0.09519172,0.008012574,0.007046493,0.0016441335,0.019331552,0.015299658,0.0016552762,0.016493537,0.008631939,0.0034193967,0.014206585,0.021854596,0.01598128,0.048932794,0.01229265,0.00023867728,0.06597642,0.01584578
9,0.10438284,-0.022324173,0.03693162,-0.0015167228,0.008052895,0.006799063,0.023630243,-0.024983756,-0.043625508,0.035309684,0.044136044,-0.06551026,0.027598953,-0.052821264,-0.008159183,0.082285866,0.18323773,-0.10706781,0.10296351,0.056086212,-0.087841816,0.11778907,0.049521122,0.007669934,-0.08028421,0.08942873,0.065679364,0.02788216,-0.013971349,0.10058643,0.02765467,0.30038726,0.080976166,-0.009503412,0.06006715,-0.00315213,0.0471939,0.00051467476,0.0055036186,3.7358433e-05,0.008052895,0.006799063,0.012693749,1.1086773e-07,0.0037544027,0.03076871,0.0035096125,0.027521882,0.027598953,3.3106735e-05,0.075444035,0.07360928,0.20259936,0.00011914938,0.09135338,0.085529126,0.00019473126,0.0074224127,0.022800725,0.003002258,0.00054107455,0.0005634752,9.607114e-05,0.0048636664,0.0042503593,0.056556147,0.005709523,0.36900097,0.0019400929,0.009803687,0.001948728,0.00016280843
