,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.007689081,0.01823324,0.0010672192,0.079281665,0.0011188984,-0.011459643,0.07411196,0.0050010555,0.034146998,0.017290382,0.013803937,0.018638283,0.043351896,0.028874949,-0.010671344,0.0023275027,0.0030569588,0.0052896105,0.024558008,0.0371245,-0.003864555,0.01540797,0.0073109185,0.03823324,0.0010672192,0.08178166,0.0011188984,0.018540356,0.06661196,1.0557719e-06,0.034146998,0.03479038,0.013803937,0.006138283,0.0333519,0.018874949,0.004328656,0.0048275026,0.0055569587,0.0027896103,0.019558009,0.0296245,0.001135445,0.02540797
2,-0.01605932,0.05417885,-0.0024631326,-0.040616922,0.011279959,-0.041358467,0.120733805,0.018335816,0.0010841782,-0.028686816,-0.03469279,0.02704053,0.012861088,0.025174335,-0.0012312297,0.014375418,0.04195539,-0.016317934,0.046213657,0.0345708,-0.004361648,0.04693829,0.00024565382,0.07629083,0.00073936995,0.000731819,0.0027008695,0.0062364326,0.077053815,0.017172065,0.0032988298,0.026733888,0.00516062,0.03008297,0.017692778,6.76484e-05,0.00034588863,0.0023299628,0.045799594,0.0008639422,0.043568853,0.006718487,0.02467851,0.04677356
3,0.053375036,0.006936323,0.012451997,0.054699033,0.08136899,-0.0521253,0.051438436,0.0077146967,-0.019284569,-0.05014398,0.0054421043,-0.01690355,-0.00502187,0.0066711395,0.024706095,-0.005280338,-0.018517366,0.026755206,0.07991687,0.074104086,-0.010123366,0.006974136,0.058924012,0.034039572,0.0021642523,0.050181396,0.05914357,0.004368011,0.009274738,0.00052698766,0.025151253,0.007455931,0.0030959349,0.008687032,0.027128063,0.0048092143,0.0133476565,0.040419705,0.019811397,0.042855956,0.08807584,0.009190354,0.00011776921,1.1512586e-05
4,0.040581968,0.045111515,-0.0059978957,-0.009304996,0.06952541,-0.012634413,0.04282026,0.00931059,-0.00073871453,-0.08142217,-0.07333112,-0.06807678,0.0444073,0.034796193,-0.08723976,-0.013098966,-0.021458682,-0.0050859954,0.035589017,0.1578646,0.040921263,0.029585136,0.023237832,0.053379014,0.0016483892,0.011612873,0.06193507,0.0021898826,0.016514426,0.011950759,8.39476e-06,0.0058831964,0.0077347546,0.0003573049,0.008453534,0.019074226,0.00010588212,0.0032988084,0.010232776,0.01372304,0.022211412,0.12769945,0.050839335,0.055438697
5,-0.0070442446,-0.010900075,-2.0451844e-05,0.014976749,0.021404749,-0.041257404,0.05210122,-0.0025870819,-0.056474302,-0.118295215,-0.028675228,-0.15179382,0.10164001,-0.08976869,-0.13787954,0.02816347,-0.03566591,-0.010365401,0.034685586,0.07410426,0.00426697,0.028984608,0.006497547,0.0029368973,0.08401465,0.04395508,0.0011582341,9.7055075e-05,0.013190853,0.0039624013,0.0027470144,0.00078283134,0.022072561,6.110044e-05,0.0064258627,0.018977728,0.00060860394,0.10348598,0.0013491838,0.008979077,0.037228584,0.02888325,0.03226484,0.006982583
6,0.012183686,0.008949573,-0.043400258,0.04117649,0.12183845,0.08018471,0.05049821,0.014976992,-0.008827949,-0.082763694,-0.048338354,-0.17840387,0.02225611,-0.02257098,-0.11665019,-0.02899404,0.044081487,-0.013527523,-0.0049659116,0.13401936,0.025597591,0.12992944,0.000161755,0.0074555986,0.09473616,0.01710767,0.110792324,0.055060137,0.012625609,0.0008952569,5.9627488e-05,0.027715208,0.012208275,0.00022927579,0.018885482,0.026737602,0.0042144055,0.00074977,0.019552402,0.0013733929,0.00021678889,0.0808621,0.016080761,1.7609507e-07
7,0.049568046,-0.018855378,-0.12919807,-0.030973475,0.08811755,-0.06018306,0.07142359,0.025551733,-0.028579295,-0.093705975,-0.082071155,-0.13419008,0.21454409,-0.037884995,-0.18969566,-0.03885302,0.042678,0.044717982,0.13235846,0.05995649,-0.0023848526,0.1337135,0.043455847,0.011711097,0.014748697,0.000947933,0.00095915975,0.013361949,0.07127133,0.040048752,6.4668624e-05,0.0002881398,0.00728838,0.0023373181,0.07219706,0.05621043,0.0037024207,0.00037163697,0.009664644,0.053570673,0.13912222,0.015056119,0.055627,0.027214725
8,0.03667845,-0.07755622,-0.056070004,0.118468806,0.1055196,-0.089846686,-0.0030429626,-0.012062987,-0.027876226,-0.24706617,0.121873386,-0.18597557,0.06809476,-0.044485383,-0.24181452,-0.14926964,0.047188435,0.012113335,0.045591842,0.19180463,-0.006351589,0.23496401,0.0017698614,0.000532314,0.005028014,0.07794244,0.03483563,0.014695986,3.8534137e-05,0.007363522,0.003731663,0.012861913,0.055221744,0.0007320405,0.00071108673,0.0011596365,0.02961001,0.00013422768,0.07482257,0.029012987,0.023232851,0.099534705,6.802013e-08,0.022292407
9,0.098529555,0.033750307,-0.12959328,-0.0450111,0.11422314,-0.0842916,0.043162182,-0.069222115,0.22078288,-0.13147876,-0.07640116,-0.039312895,0.12805922,-0.04137726,-0.29716238,0.051097848,-0.023814566,0.018648002,0.031941704,0.21847597,0.047147043,0.13767555,0.0067808265,0.061196636,0.0019250736,0.028622512,0.016708035,0.00025400976,0.114152245,0.005412704,0.12106808,0.0808644,0.054373026,0.033424485,0.002320274,0.0005439896,0.017476,0.13683958,0.00024741134,0.043407563,0.025885038,0.023199357,0.10978422,0.0011161463
