,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0074517773,0.0058072493,0.04572916,0.008809742,0.0005417899,0.074952975,0.012142712,0.007325339,0.010846015,-0.012435953,0.014566168,0.0076821535,0.0025692165,0.018829567,0.0069673746,0.015076072,-0.0007446911,-0.02326031,0.0063763703,0.0024517777,0.008307249,0.03322916,0.0138097415,0.00804179,0.07245298,0.004642713,0.0023253395,0.0058460156,6.4046355e-05,0.012066169,0.00018215344,6.921659e-05,0.0038295672,0.0069673746,0.015076072,0.011755308,0.0042396896,0.0013763706
2,0.008646541,-0.0025824974,0.09991877,0.004074484,0.032181527,-0.003731749,0.026207836,0.040123355,0.030979354,0.013440696,0.045419324,0.04064345,-0.004931435,0.008676736,0.024049748,0.08703932,0.018585984,-0.010987617,0.0045717964,0.014814391,0.00082244945,0.058243126,0.012150223,6.296974e-05,0.014346465,0.004400141,0.011768467,0.00086775445,0.0010563842,0.00011129936,0.014242812,0.0023274121,0.00062855316,0.0023562487,0.107240535,0.022973252,0.035377137,0.004465122
3,0.0051298733,0.020188812,0.026141735,-0.044385903,0.01612994,0.036705427,-0.0012562186,0.10050599,0.0048245215,-0.057606082,-0.009979172,0.0098048,-0.0053410437,0.074427545,0.0034842514,0.0031562871,-0.030819777,-0.056458827,0.0021653175,0.0027044355,0.030771947,0.0040852292,0.0011711296,0.09101434,0.010652486,0.003997627,0.09436027,0.00051369035,2.7299599e-05,0.001831746,0.0003031106,0.01995549,0.007477458,0.00015188141,0.002773712,0.0016501955,0.049792845,0.010973466
4,0.0637428,-0.000760803,0.0021432322,0.0112834405,0.07463424,0.06210165,0.103561915,0.11133352,0.03054053,0.024752703,0.085232764,0.08405072,-0.012802662,-0.000987736,0.052307636,-0.00902648,-0.013820814,0.025219182,0.03395522,0.089373745,0.023291739,0.0015955764,0.014343862,0.030586844,0.084890455,0.087779455,0.13187826,0.0030345195,0.012441129,0.056872737,0.0020810755,0.0055557922,0.006061029,0.0025803717,0.013676829,0.0051109213,0.05092534,0.0018663186
5,0.05254987,0.016638037,0.14842458,-0.00074902177,0.025280273,0.0085561285,0.05258152,0.09313762,-0.0044476306,-0.03404001,0.036960915,0.071037866,0.15574208,0.056726,0.057583824,-0.030983211,-0.074702725,-0.011768404,-0.00560987,0.076095425,0.029806027,0.08653016,0.009631529,0.007282835,0.020149985,5.8762143e-05,0.04933004,0.0026808095,0.0069535165,0.01002652,0.003818562,0.078955,0.010238689,0.004092933,0.0030505115,3.307869e-05,0.044811834,0.015363231
6,-0.040619772,0.003079407,0.023704266,-0.012291392,0.031772703,-0.009807867,0.043791156,-0.0011105295,-0.027351836,0.010705587,0.019028578,0.16159257,-0.048600655,0.08656451,0.075675465,0.022689167,-0.047360707,0.009866229,0.01907817,0.00014148591,0.012358921,0.021326374,0.001296871,0.001777161,0.00858697,0.029578691,0.01995043,0.002845799,0.0027270718,0.0016986065,0.087752186,0.008286902,0.07545414,0.027099067,0.051122315,9.966062e-05,0.024300078,0.0074983374
7,-0.032685846,0.011329034,0.15376012,0.030564355,0.023559432,0.011460222,-0.026629912,0.20003217,-0.0063715,-0.009876938,0.032926068,0.05330681,0.043505825,0.060428742,0.11019699,-0.009565132,0.022527847,-0.050690338,0.016710619,0.00030722373,0.0053660576,0.1656463,0.012059966,0.03590855,0.0006595664,0.00033491087,0.20112301,0.00012493669,0.0031341522,0.0009399706,0.069685906,0.0004543527,0.0006268536,2.4723477e-06,0.011682743,0.008644914,0.0037487391,0.0034374774
8,0.027994063,-0.0063530765,0.030212583,0.029745432,0.08291341,6.177602e-05,-0.021424115,-0.004416964,0.07294371,0.049983334,0.100193575,0.11662602,-0.095024556,0.08537632,0.069210015,-0.012125971,-0.035095684,-0.021871548,0.119436175,0.014486589,0.017118845,0.0012657002,0.0002646348,0.052721873,0.0077873487,0.00040063277,0.00045591057,0.0028184033,0.05085173,0.0076385005,0.0063290033,0.00881901,0.031639766,1.1505117e-05,0.010515442,0.021512946,0.03840093,0.003948491
9,-0.06339159,0.041697882,0.016172498,0.059329286,0.008147846,0.052124053,0.06615053,0.028269509,0.04962619,-0.067370154,0.22332181,-0.015249707,0.054409876,0.061948545,0.09783066,0.058284737,-0.0014487226,-0.06357059,0.091397874,0.0076417117,0.022646273,0.0015614749,0.0075452444,0.0011536189,0.042675156,0.030059997,7.0415284e-05,0.036698796,0.020007303,0.16009064,0.00027269902,0.0038955973,0.00018233829,0.005712518,0.05510924,0.014972771,0.010568636,0.03483198
