,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.008406075,0.068026796,0.04877817,0.1119584,0.04150443,-0.0019516512,0.015172591,0.018909082,-0.004053629,0.06224026,-0.0056909425,0.09785203,0.016731286,-0.017431125,0.04454976,-0.01131833,0.05264715,0.013406075,0.0730268,0.05127817,0.1169584,0.026504433,0.0055483487,0.007672592,0.016409082,0.010946371,0.06474026,0.011809058,0.10785203,0.0042312876,6.8873545e-05,0.02954976,0.013681669,0.027647153
2,0.03038946,-0.0019914499,0.018721862,-0.0013644355,0.049976047,0.022521041,0.023983661,0.015455125,0.01166347,0.051494375,-0.0063364217,0.006091264,0.09075728,-0.045876607,0.08260809,0.012394848,0.0495608,0.05266434,0.0018292806,0.00029626267,0.0001000711,0.0653266,0.03279705,0.0069204257,0.00787869,0.009380186,0.021544218,0.00800715,0.0010707759,0.0596411,0.00097025005,0.034626152,0.00016094474,0.0014510782
3,-0.032436244,-0.00854679,0.036984496,-0.011383649,0.00062286295,-0.046900257,0.0040684757,0.04432687,0.110357404,0.044653855,0.013702455,-0.027912961,0.07579968,-0.08331047,0.034266073,0.07866856,0.10450104,0.0088678,0.0036805174,0.048690133,0.03982616,0.006103222,0.0045920396,0.0051149013,0.047906913,0.10978275,0.0006096325,0.012373575,0.014922546,0.00052018446,0.006406103,3.3965378e-05,0.10425235,0.0012974835
4,0.025691109,0.053391263,0.04553586,-0.0360633,-0.015918413,-0.002488696,-0.046236776,0.02856763,0.040180966,0.047397897,-0.020977676,-0.07137443,-0.08581897,-0.044860225,0.22044568,-0.06669735,0.2953129,0.042824145,1.754083e-05,0.014997731,0.04420597,0.009852672,0.008724284,0.0039201565,0.040302668,0.008351729,0.01737932,0.060641035,0.015580115,6.997179e-06,0.043885473,0.053292166,0.007763635,0.12492289
5,-0.08484599,0.13466252,0.04524551,-0.18938702,-0.05474982,0.122295365,-0.21640457,-0.08435137,0.14427441,0.13875154,-0.010972977,0.036999974,-0.2216706,-0.21693271,0.26048467,0.10042727,0.2130889,0.025376849,0.009460673,0.066390365,3.5168615e-08,0.0022733165,0.016784947,0.028213706,0.0066573084,0.0066814185,1.7131415e-05,0.026485212,0.0007621237,0.014607235,0.00059188803,0.015323675,0.039207995,0.097113974
6,-0.12014781,-0.014614648,0.030236188,-0.24757342,0.0046435785,0.17362282,-0.41660804,-0.16868986,0.4778427,0.13442089,0.09082212,0.015898518,-0.2783288,-0.20524667,0.45834023,-0.12270333,0.160716,0.0100945225,0.009364345,0.00038712122,0.023040306,0.0017486183,0.074777015,0.018972382,0.055095095,0.0005129285,0.0056260345,0.07086151,0.012042037,0.00034038478,0.025846502,0.12941787,0.004860175,0.01599709
7,-0.22781652,-0.072287485,-0.211782,-0.2478591,-0.07684916,0.10258949,-0.5609408,-0.2977036,0.51477844,0.26854914,0.18734011,-0.023730585,-0.3189338,-0.29061687,0.44629803,0.00703177,-0.0005433215,0.0013535966,0.0013763721,0.018112855,0.023496047,0.00031443048,0.00025701747,0.021632928,0.01199921,0.0061800336,0.00079724105,0.05620154,0.01691035,0.015903026,0.0014469317,0.05376682,5.883501e-06,0.0054409476
8,-0.22201149,-0.16813684,-0.23489262,-0.25603306,-0.09018909,0.084759116,-0.64138836,-0.36845914,0.6887901,0.30600542,0.24892528,0.10651168,-0.26939347,-0.13119853,0.33354938,0.033887703,0.071622305,0.0011375211,0.017704137,0.00956302,0.0018994316,0.0003087153,0.018212698,0.020419456,0.0089050345,0.0039727883,0.037607487,0.00021962586,0.02938412,0.011231963,0.07806649,9.946996e-05,0.02444417,0.12062301
9,-0.16388297,-0.093249395,-0.37331,-0.315029,-0.006069296,0.12650463,-0.5951068,-0.3371966,0.51880723,0.16994049,0.20549908,0.07969737,-0.2826083,-0.09196248,0.3065077,-0.062268026,0.020841125,0.002891719,0.066321716,0.0041461154,0.0018014136,0.00020655718,0.07159344,0.018604074,0.009551603,0.0019162077,2.7868598e-05,0.024759308,0.03401799,4.4782748e-05,0.0006303229,0.009880608,0.008487143,0.007415424
10,-0.15160182,-0.13676272,-0.3365275,-0.1653026,-0.009453705,0.08489753,-0.4944238,-0.30928835,0.44828936,0.16349687,0.2912659,0.13846183,-0.21233308,-0.08389568,0.074707255,0.066960424,-0.095775515,0.0016520341,0.0010392754,0.035261635,0.08760271,0.0044092326,0.012494389,0.05565941,0.00020377188,0.0011467489,0.0033115433,3.56653e-05,0.011168963,0.020774746,0.001982108,0.021016749,0.006662402,0.047134887
11,-0.02402835,-0.17138386,-0.24735051,-0.10426195,0.051353876,0.020471856,-0.29703715,-0.18668148,0.30844903,0.020854687,0.19440618,0.02809802,-0.09461143,0.080724776,0.0045525148,0.03057427,-0.09644274,0.013325278,0.00070110464,0.040244874,0.012250037,0.017372739,0.0003477924,0.00064119254,0.005178936,0.0013726237,0.0004916278,0.020917118,6.5720895e-05,0.0023401137,0.061121423,1.6512155e-08,0.11411659,2.98254e-05
12,0.006832212,-0.06649548,-0.25967446,-0.014332062,0.07075981,0.021133475,0.05156596,-0.061768346,-0.011312561,-0.03055317,0.072402336,0.012062812,0.004872516,0.096609786,-0.088166475,-0.06487179,-0.06911838,0.00910847,0.002389162,0.041713484,4.8860784e-06,0.004874357,0.008270081,0.1412781,0.0003088861,0.00010390381,0.00011330185,0.0002858115,7.232425e-05,0.031993583,0.03519955,0.004380821,0.0034334345,0.015575963
13,0.044704042,-0.0049837995,-0.068859845,0.045004472,0.03238177,-0.0006744843,0.08090269,0.06984362,-0.027939782,-0.034658182,0.13228767,0.10586145,0.114713356,0.023446467,-0.2661185,0.1128266,-0.12491318,0.0006208062,0.024865543,0.00024808827,0.0023347307,0.0059460327,0.016686445,0.007931868,0.040820543,0.06529692,0.022642922,1.403823e-06,0.0017772267,0.028278219,0.0028320362,0.013804523,0.005027531,0.024723241
14,0.14348026,0.000211142,0.07787601,0.123786315,0.086230785,-0.013178311,0.27619192,0.22108844,-0.15909483,-0.16625069,0.039152913,-0.12876354,0.22526033,0.087532856,-0.107695594,-0.14015312,0.0300774,0.010421011,0.0450014,0.0013010562,0.0214984,0.01843149,0.06657349,0.0011975263,0.0947888,0.037505534,0.0007082063,0.12820752,0.002010943,0.07440533,0.0033377388,0.022200318,0.006924709,0.0012300258
15,0.06537736,0.106499635,0.08634143,0.13014695,-0.030611198,-0.056377485,0.44146398,0.19165462,-0.33058506,-0.020814838,-0.11118446,-0.12502448,0.19580206,-0.045329712,0.046394438,0.07461454,0.03281229,0.011529568,0.0017464409,0.00809782,0.00016714564,0.0022880922,0.0038760835,0.110603996,3.632817e-05,0.045999102,0.016583314,0.0067853546,0.008619806,0.050070457,0.005633524,0.13148126,0.0021756329,0.007924937
16,-0.020226926,0.055213407,0.31369278,0.07625416,-0.013262022,-0.06676437,0.1556909,0.096977875,-0.05702294,0.045326103,-0.03206442,0.04143097,0.14455582,-0.1825622,0.097755834,0.0035185118,0.19262847,0.002970293,0.00021110114,0.013339138,0.017179413,0.0002843064,0.0036355136,0.00031866424,0.0055411803,0.00055058755,0.015355718,0.05690371,0.0051983283,0.02494784,0.00071669754,0.03220844,9.5200885e-05,0.016972538
