,x0,x1,x2,x3,x4,x5,x6,x7,x8,e0,e1,e2,e3,e4,e5,e6,e7,e8
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00053614815,0.064297915,0.016513513,0.045557477,0.036968213,0.010693412,0.024046522,0.027004197,0.12896341,0.00053614815,0.049297914,0.0115135135,0.020557478,0.036968213,0.005693413,0.0065465206,0.022004196,0.108963415
2,0.2667197,0.05393421,0.012632301,0.053599957,0.00092782255,0.018202838,0.050880767,0.118083686,0.050374907,0.2667197,0.028307484,0.0043755444,0.001588144,0.00092782255,0.012856131,0.0005717389,0.09933586,0.002899386
3,0.025406335,0.07550894,0.062121253,0.22466747,0.039890107,0.065662794,0.05667978,0.0186891,0.17809023,0.025406335,0.034650985,0.055805102,0.015480222,0.039890107,0.056561373,0.00018228336,0.0006548388,0.0037383283
4,0.00010282204,0.13747105,0.032859582,0.2178811,0.0049651964,0.0412603,0.18407658,0.06757355,0.1499792,0.00010282204,0.045239143,0.0017989542,0.0028580322,0.0049651964,0.008428901,0.067374766,0.03228062,0.036514934
5,0.004061818,0.13175444,0.024015613,0.2776514,0.01616577,0.021493336,0.15888606,0.058744434,0.11270248,0.004061818,0.002656216,0.0075858226,0.0038571502,0.01616577,0.00086318696,0.0049712798,0.014061595,0.008955784
6,0.008306814,0.16511136,0.014891814,0.28345817,4.5262237e-05,0.08300697,0.16212122,0.08198337,0.097935274,0.008306814,0.06291385,0.0028840085,0.0060558966,4.5262237e-05,0.072260305,0.034398586,0.04367143,0.006642093
7,0.033975005,0.18956563,0.061146274,0.29794002,0.0025793824,0.054181203,0.2705661,0.10111555,0.12023752,0.033975005,0.05955562,0.053700365,0.0022689707,0.0025793824,0.012677717,0.08150194,0.039085962,0.0016078305
8,0.03864727,0.19691677,0.03058317,0.41314423,0.0038668097,0.04328904,0.21867892,0.061247233,0.20184831,0.03864727,0.0039699893,1.003256e-05,0.0001437133,0.0038668097,0.016198438,0.00033212066,0.0003105246,0.03067298
9,0.0014989773,0.18236496,0.021454234,0.41814482,0.00091665785,0.0217208,0.20598966,0.16526741,0.15308292,0.0014989773,0.036089394,0.006162648,0.0021260437,0.00091665785,7.6281205e-05,0.012748975,0.10521596,0.0015412605
10,0.10843764,0.12459769,0.049622223,0.38051984,0.047554743,0.011857175,0.16438343,0.051537693,0.113460384,0.10843764,1.5349422e-05,0.038895104,4.8381076e-05,0.047554743,0.0009967751,4.9385406e-05,0.00051625614,7.5368225e-06
11,0.028919848,0.12538525,0.05854346,0.39593753,0.028903617,0.014420839,0.1369707,0.036265075,0.17727979,0.028919848,0.0124538345,0.033732347,0.00039582106,0.028903617,0.008492251,0.012277561,0.0021513575,0.020581152
12,0.0043768296,0.11646547,0.13903178,0.3486239,0.0010265706,0.013555806,0.16742691,0.111397,0.14043088,0.0043768296,0.011497976,0.10976005,0.000590246,0.0010265706,0.006345386,0.045040112,0.076445475,0.015765531
13,0.0017371009,0.16567142,0.13547656,0.39007166,0.03777083,0.021158196,0.1553126,0.035622414,0.1689185,0.0017371009,0.0056641633,0.065960675,0.01509627,0.03777083,0.014380294,0.010298342,0.0031170954,0.00083456497
14,0.014675807,0.20347255,0.06789695,0.39287555,0.098030396,0.03398852,0.18052983,0.0481556,0.19065548,0.014675807,0.047498886,0.00015866625,0.0074589034,0.098030396,0.023409424,0.009128184,0.0014481936,5.4248343e-05
15,8.167258e-05,0.14302832,0.03549257,0.39108518,0.0007203659,0.018929347,0.22922076,0.0637508,0.17141134,8.167258e-05,0.0018206749,0.0015440948,0.009466527,0.0007203659,0.0019350863,0.039886404,0.0043855384,0.0029173228
16,0.0010051683,0.14268965,0.028514814,0.4078483,0.00025502304,0.00946495,0.16719046,0.15559351,0.13248612,0.0010051683,0.00086829526,0.01076853,0.017870666,0.00025502304,2.7631177e-07,0.015300964,0.115104094,0.029579356
17,0.007320147,0.18703496,0.113924235,0.34786728,0.000608182,0.0051605194,0.12737527,0.039408714,0.11347796,0.007320147,0.08444985,0.09966683,0.0014240532,0.000608182,0.00042804427,5.4267007e-06,0.0013700633,0.017878205
18,0.021035261,0.2418685,0.082303874,0.35309306,0.009372907,0.046279516,0.1581611,0.056654923,0.18402582,0.021035261,0.11863848,0.025341757,0.02171563,0.009372907,0.043699257,0.00044835053,0.008606048,0.0001149572
19,0.0065345755,0.16183895,0.042336527,0.3813269,0.030115077,0.02430197,0.24691229,0.073018715,0.21810012,0.0065345755,0.018466698,0.0011845903,0.022920147,0.030115077,0.0011622116,0.03115215,0.0009817083,0.013350455
20,0.022244161,0.29943103,0.02495955,0.43646476,0.003569043,0.013204446,0.17459594,0.065692835,0.24104905,0.022244161,0.14265561,0.003791285,0.030106049,0.003569043,0.001053461,0.0031377776,0.019157602,0.11903441
21,0.019040514,0.1090499,0.012877354,0.4256628,0.027750716,0.025979355,0.2948276,0.1051924,0.187614,0.019040514,0.0026699407,0.0003975801,0.04958049,0.027750716,0.019377131,0.0853199,0.02703353,0.0047556185
22,0.17644104,0.16930595,0.01983902,0.4716792,0.0031734328,0.025518239,0.1509826,0.059197184,0.08214095,0.17644104,0.0024637938,0.013400343,0.015273339,0.0031734328,0.012528562,4.688823e-05,0.02543987,0.0019428902
23,0.0056962706,0.11917648,0.022987586,0.46155053,0.03146324,0.017209105,0.16380703,0.049026836,0.19413234,0.0056962706,0.021006549,0.013068074,0.007954364,0.03146324,0.0044499855,0.017309973,0.00032079022,1.4398951e-08
24,0.02684008,0.104404435,0.014583426,0.39414844,0.024992216,0.008984439,0.2547289,0.087707706,0.08398024,0.02684008,0.0024025752,0.0030896328,0.021873724,0.024992216,0.0003798862,0.13553518,0.05361131,8.9985423e-07
25,0.0023385212,0.13914876,0.01845966,0.4115422,0.000351034,0.028052738,0.14168392,0.033545572,0.106114544,0.0023385212,3.6099635e-07,0.011167946,0.00046340472,0.000351034,0.023560518,0.015415282,0.0051983544,0.027308615
26,0.04820542,0.14170103,0.009674718,0.45635903,0.008741562,0.13117549,0.13442601,0.055370845,0.09162488,0.04820542,0.047602873,0.00044488788,0.12691271,0.008741562,0.11714912,0.0037761861,0.013570471,2.3312834e-05
27,0.0138199255,0.22607026,0.0067716995,0.43501788,0.09350812,0.06610122,0.2744784,0.16548623,0.13514332,0.0138199255,0.08843214,0.0019343407,0.044284906,0.09350812,0.0005134771,0.06922111,0.097267106,0.00014019577
28,0.002451586,0.25435963,0.013098905,0.4656728,0.0022144597,0.08475381,0.24459974,0.0799155,0.17901587,0.002451586,0.08068396,0.009713056,0.015483904,0.0022144597,0.0517032,0.011676181,0.0068726316,0.03746671
29,0.00034688698,0.3180098,0.012360606,0.46076763,0.000120166456,0.08252681,0.26317936,0.08535137,0.16520618,0.00034688698,0.14678358,0.0058111534,0.015517723,0.000120166456,0.040149905,0.008009511,0.00057301024,0.0057879365
