,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t),x26(t),x27(t),x28(t),x29(t)
0,0.064485386,0.0063103093,0.0184065,-0.00017400831,0.017155271,0.02793111,-0.004749427,0.0031135716,0.0496606,0.032380436,-0.007479746,-0.009895726,0.009643836,0.10772425,0.0041074893,0.0050330963,0.10190226,0.014196513,0.028813826,-0.010181519,0.04152339,-0.029211001,0.045498684,0.02220992,0.03670636,0.03754595,0.0049176225,0.020196207,0.034516428,-0.032207716
1,0.0014907839,-0.04627979,0.0051765125,0.006830247,0.046691984,-0.00044702517,-0.018132282,0.019413017,0.03270722,-0.013401114,0.011772325,0.0064396374,-0.049030825,-0.008647531,0.061453514,0.03580655,0.04795271,0.07113281,0.07360315,-0.042375423,-0.0883787,-0.048341636,0.046412125,-0.015211098,0.047118083,-0.01193491,0.11358715,0.01557738,0.2207053,-0.06950452
2,0.015055116,0.06649395,0.030132107,0.001421096,0.09021719,-0.007971852,-0.018237121,0.011513054,0.0038096607,0.0024715727,0.08909571,0.14287527,0.028194431,0.0095821265,0.08238436,-0.08277816,-0.021205848,0.032731406,0.09261025,-0.07108523,-0.14304322,-0.15148497,0.018231621,0.035202272,0.060679294,0.07484515,0.10570067,0.025473982,-0.10449358,0.078640774
3,-0.04675546,0.08719157,0.0035054658,0.066356495,0.006749779,-0.0078003155,-0.014640091,-0.05650469,0.05613016,0.027443178,0.07562627,-0.090215996,0.012841839,0.03176911,0.27093512,0.08763345,0.05592596,0.06726706,0.067898005,0.03893245,-0.10467583,0.04397098,0.088700786,-0.08112653,-0.04839845,0.16460401,0.08993797,0.16119781,0.051106118,-0.0061031366
4,0.07346464,0.021359202,-0.09595895,0.001311318,0.21604994,0.018280685,0.08433902,0.084675916,0.066796914,0.025043005,0.023063617,0.032858066,0.15601408,0.096150525,0.07826119,0.042156003,0.05467005,0.08605361,-0.06521081,0.016271338,0.09676875,-0.09894112,0.14676589,0.10372272,0.3264363,0.08074537,0.05134444,0.053756367,0.063071065,-0.04213667
5,-0.1126798,0.009756405,0.019600235,0.028108913,0.089486584,0.07568909,-0.0752684,0.09507031,-0.12799083,-0.11858533,0.037300505,-0.05301694,-0.015901435,-0.017745651,0.21812795,-0.0053762607,-0.022574252,-0.00320399,0.021562276,-0.10664007,-0.123440675,-0.19117923,-0.04081551,-0.09745456,-0.117509834,0.08941433,0.098919876,0.13242096,-0.15808254,-0.14177653
6,0.16486436,0.15870419,0.059004907,-0.0026635341,0.0443444,0.029230192,0.14275652,0.030234814,0.012570554,0.031760827,0.032876268,0.09713939,0.15950781,-0.044557545,0.123531416,0.010883674,-0.025056638,0.009605119,-0.048753534,0.1633262,-0.06837652,0.13972387,0.07148383,-0.013055439,-0.114866465,0.03250578,0.2223882,-0.03452996,0.12318615,0.25916582
7,0.106047,-0.07954724,0.08140444,-0.01005739,0.1885187,0.1469591,0.057976868,0.09401366,0.031317197,0.041414298,-0.07164562,-0.07922911,0.018565048,0.21531056,0.0071365237,0.08430222,-0.044810865,0.21021366,-0.0015559918,-0.00070892216,0.24233556,-0.14496729,0.0039880676,0.19831067,0.114054866,0.14074792,-0.20805576,0.22101551,0.16008654,-0.18511713
8,-0.05403023,0.003794603,0.04232779,0.03000844,-0.10509168,0.032460004,-0.05195809,-0.033069115,0.04447839,0.0044439845,0.011380613,-0.009492375,-0.119783804,-0.20320585,0.088379785,0.023490857,0.119910665,-0.0052649947,0.2822636,-0.12167852,-0.14131297,-0.12645465,0.06994793,-0.21036536,0.07496084,0.14728595,0.23802331,0.055530652,-0.036173727,0.035153605
9,0.020857638,0.0016186275,-0.008663269,0.009165553,0.11791082,0.009872396,-0.035919987,-0.09146511,0.16673073,0.046078093,0.11099075,-0.06206054,0.08803168,-0.020376623,0.04638551,0.105806924,0.005928008,0.14135838,0.02965894,-0.07255281,-0.090034805,0.02508214,-0.01918085,0.11720659,0.16845596,0.04091374,0.14959177,-0.0023274957,-0.14366306,-0.011936886
10,0.0004279688,0.13763778,-0.15093154,0.14034875,0.038885534,-0.01795493,-0.05693189,-0.004287076,-0.05119619,-0.07236309,0.090222865,-0.13925862,-0.05758004,0.14907226,0.03562211,0.020493142,0.018809013,0.0025758767,-0.16272618,0.03751563,-0.053012323,0.10132667,-0.07637936,0.007441869,-0.04188659,0.019204864,0.016671006,0.101685144,-0.08451373,-0.11800369
11,-0.009703094,0.10459052,-0.05132576,0.007168676,0.077523835,-0.028109955,0.025630284,0.12473193,-0.0941536,-0.0006607834,-0.029418057,0.07184354,0.041831184,0.1304773,-0.039687924,-0.016673107,0.03525614,-0.1069827,-0.17369884,0.15365738,0.10767642,0.08206332,-0.019660097,0.02606267,-0.0372475,-0.029822178,-0.106652714,0.08649177,0.1641249,0.099940546
12,-0.04776636,0.1416408,0.092621654,-0.028082868,0.065418,0.016394712,0.021186562,0.110997066,-0.07093942,0.024580486,-0.114190914,0.1552988,0.08389512,0.024320561,-0.015241511,-0.08585808,0.025885977,0.031714443,0.16267036,0.0103692375,0.12474869,-0.15378243,0.044205725,0.022916429,0.0671037,0.020829024,-0.1231866,0.001272155,0.13106622,-0.013858907
13,-0.06161287,-0.013128373,0.25860035,-0.01981379,-0.03697931,0.011414711,-0.024173483,-0.111427456,0.0670714,0.12450599,-0.1159137,0.09044268,0.28001314,-0.19860825,0.12814465,0.013056919,-0.007279534,0.18683021,0.32074428,-0.14631097,-0.09400962,-0.1307087,0.10253951,-0.10882961,0.018009935,0.05956533,0.22913985,-0.14512478,-0.06124299,0.08039787
14,0.11078501,-0.05329416,0.00072744954,0.06316951,-0.012780851,0.00069705304,0.027671011,-0.12392745,0.20793945,-0.019732552,0.22031438,-0.08773395,-0.025161594,0.061539333,0.04332393,0.13175742,-0.10345914,0.22140038,0.021175325,-0.12545834,-0.1137826,0.05503404,0.11191076,0.2585065,0.11602399,0.037307482,0.34601536,-0.057903603,-0.17941315,-0.1034399
15,0.060480036,0.016351707,-0.07798003,0.036485467,0.08551478,0.017917952,-0.044008613,0.021218503,-0.031039774,-0.016455159,0.18726623,-0.18981935,-0.05808359,0.24718688,0.09692219,0.059417427,0.10854647,-0.039997317,-0.266445,0.05006866,-0.10500821,0.04208129,0.0133331595,0.15359287,0.084528826,0.08414662,0.0054858318,0.22647168,0.012306584,-0.17449714
16,-0.07199716,0.10571075,-0.112275235,0.061159037,0.1391227,0.015637625,-0.040409844,0.35560554,-0.033607155,-0.0058910344,0.07012465,-0.03275808,0.05836505,0.16679631,0.02040982,0.1081715,0.1481735,0.009343758,-0.14130315,0.043194752,-0.016267022,-0.0859286,0.042980958,-0.07279566,0.03288301,0.015781684,-0.17772597,0.12913463,0.08348259,-0.027873274
17,-0.008535333,0.1353759,0.15569225,-0.15173167,0.084235966,-0.012702013,0.030790877,0.1036009,-0.17135172,0.20371202,-0.03204813,0.1723675,0.013779193,-0.01726237,0.15369317,-0.12218812,-0.008023545,0.030394366,0.028683359,-0.054477174,-0.09747938,-0.1377535,0.07655602,0.056149334,-0.08700379,0.05449073,0.09311268,-0.0016550161,0.06175477,-0.060050383
18,0.014567466,-0.007793837,0.13435481,-0.051062442,-0.04997181,0.11119627,0.3528131,0.06832059,0.12532087,-0.013383962,-0.032773945,-0.06808233,0.108489156,0.18560496,0.06273312,0.13611057,-0.014740856,0.22890192,0.12079525,-0.09364599,0.096576385,-0.10193168,0.14708298,0.022963727,0.03995693,0.08967235,0.15845336,0.12167367,0.09116343,0.040564533
