,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04203091,0.03404892,0.00091033237,-0.027784873,0.030942522,0.01395951,-0.006054981,0.015908482,-0.01177795,0.020213528,0.029010084,-0.011755641,0.021717813,0.08586077,0.0425964,0.0085274745,0.0015584361,0.027653364,0.03203091,0.04904892,0.00091033237,0.0022151254,0.028442523,0.011459511,0.0039450186,0.008408481,0.005722049,0.007713528,0.0040100846,0.00074435904,0.0067178127,0.060860768,0.035096403,0.011027474,0.014058435,0.027653364
2,0.047582082,0.00719025,0.06023948,-0.045377012,-0.013817683,0.022441728,-0.055389997,0.051319413,-0.056794234,0.0484829,0.037266366,-0.022334004,-0.005824441,0.023566617,0.07693721,0.0444133,-0.032337695,0.012239987,0.046003256,0.022156326,0.042353567,8.0149315e-05,0.0023909714,0.018137874,0.0008531271,0.029144332,0.008319453,0.03554734,0.013918815,0.02050866,0.012115562,6.780693e-05,0.0453218,0.0072967997,2.7651754e-06,0.005302983
3,-0.028996345,0.061292265,-0.01358237,-0.0010023147,-0.0148094185,0.018196557,-0.06386198,0.00848468,-0.059384927,0.02442837,0.0083597265,-0.040518954,-0.0026354284,0.015239901,0.052597385,-0.011506554,-0.015289916,0.053338457,0.0006010024,0.02092452,0.001934677,0.0023893358,0.0053379065,0.059981693,0.0004289264,0.019408546,0.023655355,0.04019805,0.0002186185,0.02184349,0.00251505,0.00027714678,0.0049887425,0.012156591,0.001365149,0.009196577
4,0.0072542056,0.034565143,0.046215877,0.08565064,-0.039186142,-0.04972994,0.1177921,0.046584524,-0.068998255,0.05059038,0.012732364,-0.028663721,0.028593376,0.14071813,0.15692249,0.09161038,-0.0031850066,0.046471648,0.015160073,0.030591756,0.022127781,0.09170319,0.009753225,1.5939107e-05,0.14797862,0.04833097,0.011492441,0.066307776,0.043453168,0.0065906504,0.081222564,0.15305449,0.113708474,0.057590134,0.0004618841,0.021733271
5,0.09188865,-0.10971171,-0.0012552012,-0.020542435,0.029309353,-0.0044148862,-0.07641825,0.05586552,-0.14262818,0.071323514,0.16967362,-0.06830232,-0.0029337448,0.12026967,0.18729863,0.00063470006,0.025017416,-0.05090736,0.0686564,0.00023584592,0.018027809,0.0028515137,0.017566128,0.08836271,0.0065156408,0.018892309,0.00084943423,0.03620888,0.014844345,0.004431717,0.006382189,0.065099455,0.013238772,0.03578528,0.011483451,0.022119606
6,0.0074061085,0.20993154,0.09341954,0.066804364,-0.030133886,0.0994063,-0.0888727,-0.073032804,0.08461645,0.028699394,0.040301412,-0.050185718,0.07185959,-0.01608499,0.12531498,0.047327265,-0.010203568,0.18132472,0.0030226498,0.059469167,0.005576395,0.021075342,0.026584337,0.087786324,0.0025782487,5.24162e-05,0.0534882,0.008541447,0.052933283,0.017311493,0.13365869,0.0011261752,0.030715581,0.14857492,0.015861202,0.092601515
7,0.02802997,-0.06970084,-0.07005962,-0.116025075,-0.08962229,-0.09101351,-0.06935921,0.03408705,-0.12233189,0.0060408767,0.08840951,-0.10761833,0.20502624,0.16610202,0.14653389,0.15798125,-0.15284555,0.020171346,0.009694733,0.006694926,0.0018115676,0.0031828864,0.011406081,0.012926963,0.044104066,0.005854327,0.09691383,0.02012905,0.07755912,0.0008917133,0.1876299,0.044697158,0.053493973,0.0641424,0.0012766627,0.01576822
8,-0.10246842,0.06865271,-0.06278693,0.17998952,-0.00047198538,-0.14078805,-0.053452946,0.030511975,0.022526551,-0.037082788,0.05298207,-0.060568236,0.09451391,0.12430597,0.20868252,-0.111125484,0.12522568,0.08852041,0.00035525643,0.00090595667,0.051260732,0.007814144,0.0009483002,0.0065926304,0.0028706589,0.032773726,0.007037637,0.009278909,0.00035308988,0.0037287846,0.054378722,0.0020937321,0.0057743876,0.0023088008,0.015423609,0.04329928
9,0.091037944,-0.09161169,0.104237534,-0.08598411,-0.052512944,-0.0101105375,0.009354461,-0.016030058,0.06299493,0.17133522,0.049934626,-0.04050149,0.07253939,0.1122937,0.1858402,-0.13375884,0.054206386,-0.014970124,0.0012791732,0.00035829534,0.015294679,0.0009635125,0.010991917,0.001090645,4.075883e-06,0.0008337764,0.029270805,0.0073603843,0.0039921016,0.039994508,0.015547598,0.0027885379,0.0052551986,0.0001279774,0.0075945216,0.020651363
