,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t)
0,-0.007689081,0.01823324,0.0010672192,0.079281665,0.0011188984,-0.011459643,0.07411196,0.0050010555,0.034146998,0.017290382,0.013803937,0.018638283,0.043351896,0.028874949,-0.010671344,0.0023275027,0.0030569588,0.0052896105,0.024558008,0.0371245,-0.003864555,0.01540797
1,-0.01605932,0.05417885,-0.0024631326,-0.040616922,0.011279959,-0.041358467,0.120733805,0.018335816,0.0010841782,-0.028686816,-0.03469279,0.02704053,0.012861088,0.025174335,-0.0012312297,0.014375418,0.04195539,-0.016317934,0.046213657,0.0345708,-0.004361648,0.04693829
2,0.053375036,0.006936323,0.012451997,0.054699033,0.08136899,-0.0521253,0.051438436,0.0077146967,-0.019284569,-0.05014398,0.0054421043,-0.01690355,-0.00502187,0.0066711395,0.024706095,-0.005280338,-0.018517366,0.026755206,0.07991687,0.074104086,-0.010123366,0.006974136
3,0.040581968,0.045111515,-0.0059978957,-0.009304996,0.06952541,-0.012634413,0.04282026,0.00931059,-0.00073871453,-0.08142217,-0.07333112,-0.06807678,0.0444073,0.034796193,-0.08723976,-0.013098966,-0.021458682,-0.0050859954,0.035589017,0.1578646,0.040921263,0.029585136
4,-0.0070442446,-0.010900075,-2.0451844e-05,0.014976749,0.021404749,-0.041257404,0.05210122,-0.0025870819,-0.056474302,-0.118295215,-0.028675228,-0.15179382,0.10164001,-0.08976869,-0.13787954,0.02816347,-0.03566591,-0.010365401,0.034685586,0.07410426,0.00426697,0.028984608
5,0.012183686,0.008949573,-0.043400258,0.04117649,0.12183845,0.08018471,0.05049821,0.014976992,-0.008827949,-0.082763694,-0.048338354,-0.17840387,0.02225611,-0.02257098,-0.11665019,-0.02899404,0.044081487,-0.013527523,-0.0049659116,0.13401936,0.025597591,0.12992944
6,0.049568046,-0.018855378,-0.12919807,-0.030973475,0.08811755,-0.06018306,0.07142359,0.025551733,-0.028579295,-0.093705975,-0.082071155,-0.13419008,0.21454409,-0.037884995,-0.18969566,-0.03885302,0.042678,0.044717982,0.13235846,0.05995649,-0.0023848526,0.1337135
7,0.03667845,-0.07755622,-0.056070004,0.118468806,0.1055196,-0.089846686,-0.0030429626,-0.012062987,-0.027876226,-0.24706617,0.121873386,-0.18597557,0.06809476,-0.044485383,-0.24181452,-0.14926964,0.047188435,0.012113335,0.045591842,0.19180463,-0.006351589,0.23496401
8,0.098529555,0.033750307,-0.12959328,-0.0450111,0.11422314,-0.0842916,0.043162182,-0.069222115,0.22078288,-0.13147876,-0.07640116,-0.039312895,0.12805922,-0.04137726,-0.29716238,0.051097848,-0.023814566,0.018648002,0.031941704,0.21847597,0.047147043,0.13767555
9,-0.1561504,-0.007793171,-0.11045859,0.10873707,-0.009372193,-0.18992797,0.113980904,0.16072957,0.040651523,-0.113087356,-0.029329104,-0.08724398,0.17512207,-0.19499743,-0.2813326,0.03988015,-0.0646421,0.019283842,0.036416754,0.12514772,0.050113443,0.1581801
10,-0.050446503,-0.023582855,-0.21514292,0.1411953,-0.11125109,-0.13050811,0.12366334,0.10394065,0.0022179345,-0.14691488,-0.1612523,-0.029094037,-0.03682884,0.20611908,-0.24323273,-0.07736591,-0.01656101,-0.032160114,0.0119290855,0.19504859,0.06960165,0.23845057
11,0.020498112,-0.013022399,-0.1338534,-0.21368401,0.17923307,-0.09911461,0.06879397,-0.023715995,-0.056410708,-0.047702648,-0.11535261,-0.106467366,0.084395595,-0.010099638,-0.11458939,-0.060402002,-0.087492906,-0.049131453,0.056605138,0.081071965,-0.13320783,0.01668002
12,0.13262133,0.08127182,0.048733234,0.09676377,0.096840024,0.093652755,0.016421534,-0.022053152,-0.04868532,-0.1272612,0.07546594,-0.21939638,0.09267643,-0.16641498,-0.123238154,-0.17943811,0.01571412,-0.00899037,0.0019729063,-0.0055943974,0.042919658,0.1667388
13,0.1420646,-0.07614399,0.08044598,-0.011787582,0.021339482,-0.13990504,-0.032818966,-0.06922449,0.005007934,-0.10273124,-0.041671913,-0.110720314,0.16604447,-0.0056516975,-0.1365055,-0.05157402,0.045333866,-0.043472894,0.0044130133,0.0674813,-0.0018561034,0.17011337
14,0.02632096,-0.08232368,0.00618764,-0.023518242,0.16029784,-0.06838058,-0.025008298,-0.025294581,0.017914228,-0.17532542,0.11751309,-0.13214082,0.17837171,-0.18898757,-0.16105881,-0.048301496,0.036768906,0.0066933464,-0.016856957,0.26000774,-0.037502225,0.14063483
15,0.06533264,-0.034566544,-0.065282874,0.18514667,0.013689272,-0.06976922,-0.043790247,-0.023316035,0.13375899,-0.2326358,-0.107148945,-0.0697766,0.0661555,-0.0095946565,-0.12109184,-0.09116688,0.029841306,0.033149585,0.0036023015,0.21295094,0.060472928,0.23163253
16,-0.05089464,-0.11281594,-0.10121383,-0.07347932,0.022256074,-0.12664092,-0.010872841,-0.043541282,-0.03185237,-0.17023392,-0.15063624,-0.050986845,0.23862879,-0.09764214,-0.19663052,0.078061305,-0.09133032,0.026554134,0.018320946,0.2165421,-0.014124673,0.11749355
17,0.0054655466,-0.0520505,-0.24756983,0.1213286,0.009003207,-0.035166785,0.0578186,0.24416679,-0.018908473,-0.24073848,-0.008313367,-0.19714892,0.08596044,-0.0947725,-0.19249971,-0.063423045,-0.037605885,0.005360871,0.013286539,0.12288515,0.09590039,0.19563249
18,0.0014889603,-0.07155581,-0.18836343,-0.050872423,-0.015304864,-0.10867082,0.055093855,-0.029927006,0.03251809,-0.14759584,-0.110577315,-0.13601747,0.088768624,0.08034032,-0.2670746,-0.14831226,-0.008602079,0.13572016,0.032675095,0.12451715,-0.005411431,0.26135775
19,0.064427555,-0.019579368,-0.075864404,0.07211242,0.24262947,-0.17050096,0.017654384,-0.06635016,-0.019474378,-0.15048876,0.032602366,-0.037943225,0.057303097,-0.03970495,-0.23217285,-0.14545164,-0.118519105,-0.033327818,0.06997986,0.046218928,0.063681394,0.09481038
20,0.051783074,0.008195756,0.044975836,-0.08700025,-0.08045624,0.023414029,0.04571645,0.06742211,0.04153327,-0.099372804,-0.08380909,-0.08219059,0.19232531,-0.06366234,-0.21083857,-0.044840332,-0.019248541,-0.064106144,-0.01630853,0.0688141,0.017396547,0.08340412
