,x0,x1,x2,x3,x4,e0,e1,e2,e3,e4
0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0
1,0.019804318,0.015084871,0.035105634,0.010185855,0.00894522,0.009804319,8.4871106e-05,0.025105635,0.00018585556,0.00894522
2,0.04610756,0.14955468,0.0527431,0.07348116,0.0014425525,0.03654202,0.11731694,0.040728055,0.0549709,0.0014425525
3,0.12693898,0.09471358,0.09100543,0.045886207,0.010590966,0.08947713,0.026557323,0.01550681,0.0024426184,0.010590966
4,0.035058796,0.13839386,0.053291712,0.07179384,2.4169745e-05,0.006820211,0.015302364,0.0006394379,0.003188446,2.4169745e-05
5,0.12770268,0.101612404,0.08470553,0.041269045,0.0038366793,0.09179368,0.03948265,0.0154965175,0.001226918,0.0038366793
6,0.030753797,0.12074847,0.05273223,0.06653394,0.077833764,0.008200934,0.0032679276,7.6879505e-06,0.0021554567,0.077833764
7,0.16512975,0.13262814,0.17956391,0.08497529,0.0020079147,0.092945896,0.054793213,0.08027279,0.028011857,0.0020079147
8,0.043604363,0.23352236,0.107455954,0.10899655,0.00055600586,0.00011275952,0.03942973,0.04013792,0.0010773324,0.00055600586
9,0.054819424,0.19263989,0.13693601,0.08279321,0.0068573914,4.3146334e-05,0.08972158,0.01989682,0.017639996,0.0068573914
10,0.044867538,0.12011979,0.11927653,0.114976935,0.0003927632,4.2236574e-05,0.0018294242,0.019527888,0.044625424,0.0003927632
11,0.06637903,0.14621834,0.0859122,0.07212034,0.0007519729,0.008694185,0.03530388,0.025655923,0.0022418953,0.0007519729
12,0.037165333,0.14021224,0.111112595,0.064496435,0.008031304,0.0007291763,0.04584854,0.03762744,0.008205548,0.008031304
13,0.085679084,0.100199014,0.08331177,0.058555134,0.0011118508,0.049415216,0.007928115,0.009189992,0.0033537205,0.0011118508
14,0.03070526,0.10862508,0.06410763,0.057173032,0.0015386194,0.00087176746,0.009212906,0.013452191,8.571306e-06,0.0015386194
