,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t),x26(t),x27(t),x28(t),x29(t),x30(t),x31(t),x32(t),x33(t),x34(t),x35(t),x36(t),x0(t-1),x1(t-1),x2(t-1),x3(t-1),x4(t-1),x5(t-1),x6(t-1),x7(t-1),x8(t-1),x9(t-1),x10(t-1),x11(t-1),x12(t-1),x13(t-1),x14(t-1),x15(t-1),x16(t-1),x17(t-1),x18(t-1),x19(t-1),x20(t-1),x21(t-1),x22(t-1),x23(t-1),x24(t-1),x25(t-1),x26(t-1),x27(t-1),x28(t-1),x29(t-1),x30(t-1),x31(t-1),x32(t-1),x33(t-1),x34(t-1),x35(t-1),x36(t-1),e0(t),e1(t),e2(t),e3(t),e4(t),e5(t),e6(t),e7(t),e8(t),e9(t),e10(t),e11(t),e12(t),e13(t),e14(t),e15(t),e16(t),e17(t),e18(t),e19(t),e20(t),e21(t),e22(t),e23(t),e24(t),e25(t),e26(t),e27(t),e28(t),e29(t),e30(t),e31(t),e32(t),e33(t),e34(t),e35(t),e36(t)
0,0.06745423,0.03398943,0.010018249,-0.012364821,0.104135916,0.022790037,0.005091182,0.037228383,0.011256383,0.0022363337,0.030966852,0.028001348,-0.001703636,0.017760605,-0.004119091,-0.004687823,0.0119578475,0.016523052,0.0067945407,0.02327612,0.014515281,-0.014933689,0.037970945,-0.0040170457,0.046780467,0.043204524,-0.0062545124,0.0109916795,0.013486355,0.0029717989,0.016925335,0.0013397571,-0.0035128961,0.025180982,-0.0062234355,0.019777212,0.016005319,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.062454227,0.043989427,1.8249375e-05,0.00013517844,0.104135916,0.017790036,0.005091182,0.037228383,0.001256383,0.0022363337,0.030966852,0.028001348,0.0032963639,0.032760605,0.00088090886,0.00031217688,0.0119578475,0.016523052,0.0067945407,0.03577612,0.012015281,6.631087e-05,0.042970944,0.0009829544,0.046780467,0.033204522,0.0012454876,0.0109916795,0.018486355,0.0004717985,0.011925335,0.0013397571,0.0014871036,0.022680983,0.0037765643,0.027277213,0.0010053195
1,0.024541613,-0.00542441,0.030975789,-0.0055130934,0.01734054,-0.025282383,-0.004001464,0.010734613,0.0622172,0.15571691,0.20607401,0.0023171252,0.06408862,0.007256265,-0.026673589,0.027922172,0.005874607,0.019295778,0.00081364554,-0.008261477,0.014791016,0.08092923,-0.0017545188,0.0355256,0.020706058,0.018723318,0.042575095,0.01762087,-0.014821244,-0.0022760897,0.015741102,-0.0075202137,0.040299907,0.02406268,-0.024090357,-0.022322526,0.024476266,0.06745423,0.03398943,0.010018249,-0.012364821,0.104135916,0.022790037,0.005091182,0.037228383,0.011256383,0.0022363337,0.030966852,0.028001348,-0.001703636,0.017760605,-0.004119091,-0.004687823,0.0119578475,0.016523052,0.0067945407,0.02327612,0.014515281,-0.014933689,0.037970945,-0.0040170457,0.046780467,0.043204524,-0.0062545124,0.0109916795,0.013486355,0.0029717989,0.016925335,0.0013397571,-0.0035128961,0.025180982,-0.0062234355,0.019777212,0.016005319,0.013907477,0.023078388,0.022975896,0.0037772444,0.004864572,8.009549e-06,0.0002589507,0.025827505,0.04562719,0.16811374,0.19111045,0.0044473326,0.07525345,0.015799316,0.0060521546,0.039021745,0.001511814,0.02882479,0.0021114678,0.01179739,0.019196117,0.115707025,0.003813132,0.06891297,0.000935162,0.012483585,0.048887692,0.0024039496,0.0014678077,0.00301817,0.0123815425,7.478134e-05,0.051694926,0.04805086,0.007307996,0.0093400385,0.0006187838
2,-0.06914905,0.0067720045,0.035051636,-0.075265095,-0.011304192,-0.09690874,0.04894686,0.05595891,0.028946586,0.13242798,0.06388015,0.04361768,0.03777565,-0.01678446,0.048376314,-0.06033768,0.058802817,0.013159735,-0.04649343,-0.020173334,0.08259898,0.04174474,-0.08901984,0.0015869588,0.056728117,0.10849586,0.021408323,0.10121561,0.09365359,0.1300094,0.058819152,0.03951257,0.035233483,0.25269312,0.008017078,-0.007219543,-0.04140513,0.024541613,-0.00542441,0.030975789,-0.0055130934,0.01734054,-0.025282383,-0.004001464,0.010734613,0.0622172,0.15571691,0.20607401,0.0023171252,0.06408862,0.007256265,-0.026673589,0.027922172,0.005874607,0.019295778,0.00081364554,-0.008261477,0.014791016,0.08092923,-0.0017545188,0.0355256,0.020706058,0.018723318,0.042575095,0.01762087,-0.014821244,-0.0022760897,0.015741102,-0.0075202137,0.040299907,0.02406268,-0.024090357,-0.022322526,0.024476266,0.0006321375,0.000978048,0.042954072,0.05991104,0.013672527,1.2092866e-05,0.0066769966,0.0031698006,0.009357141,0.01846962,0.059839945,0.02248275,0.0023748195,0.0014045096,0.015406716,0.00010894631,0.050538532,0.0039358884,0.008053009,0.0026671803,0.0054244185,0.0056242286,0.00040642032,0.017914973,0.00971619,0.005697589,0.07191747,0.09625512,0.09650075,0.0047372733,0.046808694,5.763635e-05,0.02259229,0.21920091,0.0069270995,0.004085805,0.0063893497
3,-9.760179e-05,0.010976819,0.08450613,0.046911724,-0.002485316,0.011108206,0.04225404,-0.0063184723,0.19066505,-0.055025153,0.030127605,0.05975462,-0.018177403,0.10355133,-0.0043153493,-0.043114726,0.048952542,0.05797921,0.03545201,-0.06264314,-0.089628465,0.016348196,-0.14516787,0.06400794,0.016531983,0.07458082,-0.036463004,0.055368,0.11745903,0.016545005,0.16292079,-0.027666312,0.053812675,0.06354818,-0.1028509,-0.032229617,0.26923704,-0.06914905,0.0067720045,0.035051636,-0.075265095,-0.011304192,-0.09690874,0.04894686,0.05595891,0.028946586,0.13242798,0.06388015,0.04361768,0.03777565,-0.01678446,0.048376314,-0.06033768,0.058802817,0.013159735,-0.04649343,-0.020173334,0.08259898,0.04174474,-0.08901984,0.0015869588,0.056728117,0.10849586,0.021408323,0.10121561,0.09365359,0.1300094,0.058819152,0.03951257,0.035233483,0.25269312,0.008017078,-0.007219543,-0.04140513,0.0017637693,0.035346504,0.03400647,0.030494535,0.0008612352,0.0031906758,0.024170974,0.01437543,0.059123833,0.038216926,0.00021165304,0.05071309,0.0013878227,0.18935922,0.00047758696,0.01283919,0.03315793,0.027923027,0.059838884,0.006784919,0.0065684244,0.02419262,0.00090285885,0.04481524,0.014398327,0.008907469,0.00034498723,0.0041418304,0.028438358,0.0002776753,0.071397275,0.00027265845,0.005358303,0.010677814,0.036458332,0.013585742,0.015052195
4,0.13274443,0.16288131,-0.017479168,0.13726272,0.05089919,0.054284886,0.17576188,0.04016667,0.042310335,-0.060302116,0.033414185,0.06033942,-0.07326121,-0.15815648,0.03236068,-0.15843101,0.011555933,0.032541946,0.14287087,-0.21883439,0.08128967,-0.08964101,0.008219888,0.1025466,-0.0296411,-0.0949875,-0.02995275,-0.017576829,-0.05543034,-0.004585415,0.06238301,0.0103356615,0.032029245,-0.018161945,-0.1287812,-0.04475998,0.116236866,-9.760179e-05,0.010976819,0.08450613,0.046911724,-0.002485316,0.011108206,0.04225404,-0.0063184723,0.19066505,-0.055025153,0.030127605,0.05975462,-0.018177403,0.10355133,-0.0043153493,-0.043114726,0.048952542,0.05797921,0.03545201,-0.06264314,-0.089628465,0.016348196,-0.14516787,0.06400794,0.016531983,0.07458082,-0.036463004,0.055368,0.11745903,0.016545005,0.16292079,-0.027666312,0.053812675,0.06354818,-0.1028509,-0.032229617,0.26923704,0.0042492733,0.14360727,0.02012298,0.077980034,0.016820222,0.004632167,0.064314544,0.003952902,0.001131287,0.0015357496,0.0034191292,0.0046157534,0.009027605,0.053439256,0.016682647,3.828424e-05,0.005078147,0.011884027,0.1299961,0.09089728,0.0022955374,0.0009539424,0.00033534694,0.04481354,3.7724108e-06,0.004645383,0.010591328,0.0033084122,0.029242162,0.12587196,0.0013970888,0.07815388,0.037583347,0.06595466,7.8108904e-05,0.0017852627,0.004163809
5,0.1407244,0.039592333,0.003847072,-0.11989825,0.037747096,0.031180814,0.044621557,-0.013350967,0.054652423,-0.103767596,0.073322624,0.03272479,-0.022129528,-0.14961602,-0.13797693,0.06809272,0.08307397,0.08556096,0.025826493,-0.2729933,0.00401445,-0.0039897463,-0.005935267,0.0103814155,-0.011320173,-0.21603066,0.074060835,-0.042381227,-0.050352685,-0.07496271,0.016854338,0.053739287,-0.02359844,-0.11451225,-0.13396172,0.016573835,0.03256092,0.13274443,0.16288131,-0.017479168,0.13726272,0.05089919,0.054284886,0.17576188,0.04016667,0.042310335,-0.060302116,0.033414185,0.06033942,-0.07326121,-0.15815648,0.03236068,-0.15843101,0.011555933,0.032541946,0.14287087,-0.21883439,0.08128967,-0.08964101,0.008219888,0.1025466,-0.0296411,-0.0949875,-0.02995275,-0.017576829,-0.05543034,-0.004585415,0.06238301,0.0103356615,0.032029245,-0.018161945,-0.1287812,-0.04475998,0.116236866,0.1470281,0.037295677,0.027489161,0.0011249832,0.0016661749,0.0022116485,0.0010863977,0.00091354595,0.023801621,0.01334395,0.012818837,0.01095721,0.0015917323,0.025318867,0.011374441,0.033352006,0.06184231,0.00017123172,0.0007241957,0.031803332,0.0014627085,0.003384762,0.0024244632,0.091955945,0.0037385735,0.0072223153,6.6037833e-06,0.008970875,0.0013338773,0.0005665914,0.056255355,0.06265472,0.0035440028,0.012262193,0.0013283237,0.00388297,0.005675155
6,0.0746164,-0.0014267687,-0.045983553,-0.05040271,0.04094682,-0.1090187,0.16663826,0.040138163,-0.0052230335,0.1761213,0.006087793,0.010246113,0.08401385,0.014569802,0.15836868,0.10111716,-0.004229591,0.0800973,0.07894162,-0.08806441,0.13828515,0.116516925,0.04866096,-0.18732868,0.06046763,-0.039698742,0.003138795,-0.019103104,0.00016424246,0.030374303,-0.034392208,0.02105755,-0.014547446,-0.085845195,0.009400306,0.10890809,0.09423593,0.1407244,0.039592333,0.003847072,-0.11989825,0.037747096,0.031180814,0.044621557,-0.013350967,0.054652423,-0.103767596,0.073322624,0.03272479,-0.022129528,-0.14961602,-0.13797693,0.06809272,0.08307397,0.08556096,0.025826493,-0.2729933,0.00401445,-0.0039897463,-0.005935267,0.0103814155,-0.011320173,-0.21603066,0.074060835,-0.042381227,-0.050352685,-0.07496271,0.016854338,0.053739287,-0.02359844,-0.11451225,-0.13396172,0.016573835,0.03256092,0.045985408,0.00018466523,0.01815775,0.07685145,0.03702841,0.0060844743,0.14759897,0.011422778,0.005911782,0.11140968,0.01909099,0.00072646566,0.019782685,0.0006359276,0.19491036,0.013585284,0.0032516096,0.027450971,0.016100368,0.06556862,0.06404357,0.030811926,0.004301113,0.00012956314,0.0025131847,0.0013245282,0.0051350906,0.00048562625,0.0063299034,0.001206502,2.1062155e-08,0.0069459714,0.0010429613,0.0018272679,0.0030944964,0.0012067658,0.18719724
7,-0.10527349,-0.07400049,0.13410272,-0.1813163,0.026957765,-0.07840228,-0.053062584,0.07303676,0.116101235,0.020992449,-0.059905577,-0.02847164,0.019021677,-0.107238874,0.034586985,0.05837976,-0.016727095,0.06396709,-0.01224673,-0.12968318,0.19285038,-0.010449104,-0.019869415,-0.09837416,0.068708025,0.09271768,-0.024175733,-0.0050819814,0.110189304,-0.010023501,-0.05651764,0.044743013,0.11029926,0.060696766,-0.07079475,0.066141374,0.02566249,0.0746164,-0.0014267687,-0.045983553,-0.05040271,0.04094682,-0.1090187,0.16663826,0.040138163,-0.0052230335,0.1761213,0.006087793,0.010246113,0.08401385,0.014569802,0.15836868,0.10111716,-0.004229591,0.0800973,0.07894162,-0.08806441,0.13828515,0.116516925,0.04866096,-0.18732868,0.06046763,-0.039698742,0.003138795,-0.019103104,0.00016424246,0.030374303,-0.034392208,0.02105755,-0.014547446,-0.085845195,0.009400306,0.10890809,0.09423593,0.00569681,0.00052262796,0.019278841,0.0002465878,0.108208,0.019719213,0.004002978,0.033759527,0.023020986,0.002100652,0.015104498,6.114085e-05,0.00028149277,0.015932504,0.006158597,0.0022630345,0.0004653858,0.00035628918,0.029446451,0.002626998,0.07803615,0.009520885,0.001680602,0.03579341,0.0010165002,0.00560835,0.0001460991,0.014319748,0.0086579025,0.008116465,0.00026778269,0.0028182094,0.05578991,0.05747646,0.051397886,0.0018448477,0.07971138
8,0.12961987,-0.05265475,0.13269608,0.019104537,0.114526324,0.0047568753,0.06461845,0.011729126,0.042460572,0.07605007,0.04548927,0.03919677,0.0992566,-0.0061132163,0.02497961,-0.12887147,0.031467125,0.008511025,0.010236923,-0.064489745,0.13452028,0.0083424635,-0.04966128,-0.021663599,0.05993221,0.09679862,0.008931924,0.053403605,-0.038030423,-0.17461121,0.060872138,0.034602307,0.11881415,0.035841,-0.054269783,0.0132941585,0.045997445,-0.10527349,-0.07400049,0.13410272,-0.1813163,0.026957765,-0.07840228,-0.053062584,0.07303676,0.116101235,0.020992449,-0.059905577,-0.02847164,0.019021677,-0.107238874,0.034586985,0.05837976,-0.016727095,0.06396709,-0.01224673,-0.12968318,0.19285038,-0.010449104,-0.019869415,-0.09837416,0.068708025,0.09271768,-0.024175733,-0.0050819814,0.110189304,-0.010023501,-0.05651764,0.044743013,0.11029926,0.060696766,-0.07079475,0.066141374,0.02566249,0.017970081,0.016934311,0.044441245,0.06068682,0.042250417,0.023491725,0.03963852,0.0019227219,5.24723e-07,0.08447808,0.005903624,0.026706805,0.0072308634,0.009970836,0.0019280355,0.0022637674,0.029743277,0.008680601,0.0137346685,0.008522106,0.11375337,0.06332416,0.017655144,0.0023519078,0.03316752,0.0005640119,0.07076303,0.010761862,0.062069036,0.038644165,0.00097363646,0.08018612,0.07961301,0.014236836,0.0010931923,0.041776273,0.008213487
9,0.09403722,0.01425167,0.08727393,-0.11690576,0.06498399,-0.17071238,0.037333,0.009271247,0.09038879,-0.10841654,0.037355162,0.013340076,0.026976978,-0.07810843,-0.031131111,-0.033209503,-0.00038386858,-0.033561736,0.042924065,-0.098369755,-0.045453314,0.08952008,-0.07220222,-0.13175975,0.10397284,-0.049405236,0.07802997,0.025717406,-0.2109417,-0.21733868,-0.006270868,0.07244752,0.0030404371,-0.14558998,-0.06596806,-0.04618665,-0.031291574,0.12961987,-0.05265475,0.13269608,0.019104537,0.114526324,0.0047568753,0.06461845,0.011729126,0.042460572,0.07605007,0.04548927,0.03919677,0.0992566,-0.0061132163,0.02497961,-0.12887147,0.031467125,0.008511025,0.010236923,-0.064489745,0.13452028,0.0083424635,-0.04966128,-0.021663599,0.05993221,0.09679862,0.008931924,0.053403605,-0.038030423,-0.17461121,0.060872138,0.034602307,0.11881415,0.035841,-0.054269783,0.0132941585,0.045997445,0.084729426,0.026763313,0.04711525,0.0028906504,0.002807175,0.0036200976,0.022749793,0.024510214,0.0072956798,5.214258e-05,0.0070492746,0.0060484726,0.0030703156,0.009803659,0.0043338467,0.02411331,7.38957e-06,0.020854669,0.063285775,0.02586528,0.00015979631,0.008821773,0.026756471,0.029985126,0.013678683,5.7618226e-06,0.028370012,0.024971304,3.1478936e-05,0.0035989047,0.0036011997,0.0038040155,0.005418875,0.0031970597,0.025140248,0.0030106222,0.0012228282
