,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02566004,0.06522174,-0.0028200601,0.011613422,0.02079136,0.018398654,0.0127519835,0.08341472,0.0037622652,0.06660046,0.04335217,0.0050469465,0.037959028,0.005455272,0.0062995534,0.010612412,0.01893374,-0.0042109974,0.09277713,-0.00803993,0.0149290245,0.014588137,0.030990435,0.019212823,0.0016057724,-0.004848313,-0.0023975505,0.04433727,0.049421247,0.010019579,0.09294108,0.021554537,0.022783795,0.02278456,0.06322735,0.0051242886,0.0034968136,0.07022752,-0.01143907,-0.0060055796,0.01566004,0.06022174,0.0071799397,0.016613422,0.00079135963,0.023398653,0.0127519835,0.10091472,0.0037622652,0.061600458,0.033352174,4.694643e-05,0.037959028,0.00045527198,0.028799552,0.0006124123,0.0064337407,0.0007890025,0.08027713,0.0019600696,0.002429025,0.009588137,0.040990435,0.026712824,0.0041057724,0.0051516867,0.00010244945,0.03933727,0.054421246,0.017519578,0.075441085,0.024054537,0.052783795,0.012784561,0.05822735,0.002624289,0.013496813,0.06272752,0.013560928,0.0014944202
2,-0.0022397726,0.0015650588,0.041428134,0.0033409102,0.05431302,0.04003739,0.04088129,-0.01636904,0.0010461428,0.021091636,0.09289927,0.01680819,0.02277055,0.019770717,-0.07127119,0.03168369,0.03818595,0.035713553,0.026772436,0.004112432,6.2573e-05,0.01741917,0.011773218,-0.035059314,0.01171862,-0.005951088,-0.02924266,0.07761383,-0.05696982,0.064271756,0.0869987,-0.045185078,0.13678002,0.071670935,0.025968984,0.031984612,-0.072938144,-0.0073209503,-0.016401999,-0.038044266,0.006089386,0.002763834,0.023620434,0.0058259265,0.02944343,0.00026151183,0.027383896,0.0038306485,0.0010461428,0.0019956382,0.002980973,0.032732707,0.001193128,0.010164306,0.017593672,0.021232616,0.0122825345,0.008101641,0.0018596726,0.028715592,0.0020778107,0.011265058,0.016129809,0.0043936432,9.248057e-05,0.049412433,0.0070703058,0.00019516014,0.011264235,0.06237277,0.036579374,0.00036003246,0.2132931,0.013371315,0.023129368,0.022983465,0.018697578,0.0059309877,0.004493422,0.0003724315
3,0.10476537,-0.009992555,0.07914111,-0.032372274,0.008890796,0.053309377,0.051818255,0.010358067,0.014089301,0.06188071,0.10355222,0.07946902,0.08971288,-0.0072853034,0.09474674,0.11387962,0.027596232,0.015879933,0.017553922,-0.004723723,0.090316325,0.04807116,-0.017609635,-0.0026710294,0.054917313,-0.039011326,-0.031080414,0.006008895,-0.023240965,0.090197794,0.11292467,0.0021587033,-0.021240884,0.07319423,0.012159951,-0.0006667357,-0.0026737098,0.07736574,-0.01809247,0.05377518,0.07113049,0.0046287756,0.055097986,0.00014711985,0.022771493,0.03414806,0.0012850193,0.0014974079,0.014089301,0.039942503,0.024169121,0.096935324,0.05608463,0.010244354,0.107847646,0.036183108,0.010252099,0.04039728,0.0057464805,0.010946081,0.032790557,0.006354363,0.0011356339,0.028013602,0.022981843,0.009484091,0.002597921,0.005032854,0.026989508,0.002996868,0.0027598415,0.0014437222,2.0535956e-05,0.018302312,0.0014710459,0.021300653,0.022427311,0.024412967,0.027254043,0.005368183
4,0.054330535,0.04265783,0.03799463,-0.060153577,0.1129081,-0.017587451,0.045041844,-0.08785746,8.356903e-06,0.042251244,0.0043350756,0.032942176,0.116505034,-0.00016513944,-0.02147419,0.053644862,0.19680238,-0.05711115,0.05436331,-0.09502615,0.09947827,0.07194782,-0.017836375,0.02332208,0.075900435,-0.009466734,-0.0481059,0.07413384,-0.028511815,-0.1496625,0.08263148,-0.008297868,-0.17374231,0.014250475,-0.013576109,-0.0073029497,0.026611727,0.12601067,0.12636316,-0.11686009,0.00299008,0.05819804,0.04671494,0.009964581,0.0021639697,0.00038516754,0.063602254,0.0126384245,8.356903e-06,0.00509589,0.048653714,0.02974633,0.02166074,0.0011703753,0.00035595114,0.014604777,0.13816401,0.0008471964,0.0073809633,0.009885443,0.0058358144,0.014070894,0.0010928449,0.045502044,0.012191166,0.034204207,0.003754787,0.013465494,0.03298626,0.004317473,0.036270384,0.023854166,0.0024298814,0.00014778035,0.0169418,2.1498341e-05,0.049437728,0.0008831168,0.14848857,0.0033507051
5,0.008690151,-0.02394989,0.030749643,0.0018949066,0.14997797,0.04367289,-0.058236115,-0.03117192,0.031417444,0.06454238,0.05094421,-0.0082410555,-0.007117076,0.051570386,-0.030267576,0.09034473,0.052166298,0.05095765,0.15517204,-0.16864774,0.04084972,0.25218526,-0.03690678,-0.036281474,0.07680874,-0.045288235,-0.038525827,0.020485481,-0.10046468,-0.032757156,0.024308695,0.02024252,0.0631834,-0.06730177,-0.057019457,0.1007012,0.05777823,-0.03892395,0.018811151,-0.17227668,0.0006166941,0.000103061015,0.008132869,0.005257212,0.020371435,0.016379027,7.946509e-05,0.022033902,0.031417444,0.003577435,0.030257225,0.0074200607,0.015220644,0.039909344,4.5807446e-06,0.00023980362,6.47223e-05,0.107750975,0.03593308,2.0876338e-07,0.03454942,0.09989599,0.0030558782,0.0049009593,0.0025600789,0.0063960175,0.07845051,0.00016513414,0.006051265,0.08209815,0.000782521,0.014985692,0.04847209,0.00031875118,0.0035898332,0.11678765,0.0011144882,0.042332955,0.0117056705,0.0024908786
6,0.11801417,0.025586788,-0.062264066,0.027894342,0.027184177,0.13290586,0.019223146,-0.08205158,0.060015865,0.06996729,0.14211276,-0.012737542,0.05350653,-0.014234278,-0.008490447,0.09327841,-0.03168859,0.21158819,0.10066297,-0.00514003,0.1369256,0.041919272,-0.0013847268,-0.01852203,0.14683312,-0.04538681,0.0037077852,0.13351163,-0.032341212,0.058777057,0.09169471,0.01810519,0.00018464215,0.12689658,0.05559756,0.035817277,-0.05512245,0.06903423,-0.067679755,0.0382068,0.07074657,0.0448497,0.016217295,0.008005751,0.0045651095,0.0890749,0.013110272,0.023929568,0.060015865,0.06299792,0.040486574,0.005286112,0.0041956534,0.003906458,0.029265229,0.005129471,0.0070284484,0.2767208,0.026181355,0.002164922,0.024941623,0.0055325255,0.0014907577,0.01929033,0.034721687,0.002817211,0.02619265,0.11213792,0.013416374,0.0049162437,0.009163902,0.005011817,0.023725087,3.5885696e-06,0.033748787,0.022987466,0.0032009769,0.034043144,0.00042944492,0.046331227
7,0.10562157,0.166336,0.025585076,-0.040852893,0.0845004,0.04806553,-0.0953615,-0.17277166,0.009140204,0.18616518,-0.02650528,0.020644085,0.0906241,0.007535125,-0.032250788,0.0761003,-0.017621342,-0.10514582,0.06879422,-0.04405312,0.1775946,0.04940164,0.10845763,-0.033673644,0.09653011,-0.122099,-0.06551742,0.16892844,-0.09632671,-0.16288818,0.019754337,0.062140346,-0.13653246,0.08844658,0.116168186,0.046150766,0.06537366,0.15016636,-0.051114127,-0.112186536,0.098791815,0.1644821,0.015396683,0.0013624014,0.008876867,0.010201514,0.010340274,0.017107941,0.009140204,0.11972533,0.008065478,0.011275599,0.007323454,0.01679614,0.013200642,0.01663562,0.0007657731,0.014948153,0.019097807,0.0018305394,0.014975933,0.0058357324,0.07118753,0.022999512,0.01437869,0.0006172415,0.024376089,0.00050526357,0.051979277,0.0003865984,0.006866681,0.050016984,0.034526184,0.008895017,0.0041881483,0.0055888062,0.0041352753,0.16155037,0.0027394684,0.0003794853
8,0.05265996,-0.032498866,7.083174e-05,-0.044276446,0.1038756,-0.005086152,0.0970352,-0.021965358,0.091847494,0.08554721,0.07575388,0.0041655595,0.12358077,-0.01368322,-0.14486158,0.008349315,0.01714391,-0.09744395,0.11031647,-0.089097135,0.0888675,0.0524621,0.12964311,-0.05361233,0.25912806,-0.16837859,-0.15504941,0.047604475,-0.18057607,-0.05894404,-0.035190444,0.05884975,-0.05385939,0.071928605,0.027563399,0.07417338,0.1721433,-0.1140217,0.09165877,-0.13786283,0.019689932,0.00025984258,0.014252833,0.004505852,0.038031116,0.008071924,0.112728514,0.003452556,0.091847494,7.334552e-05,0.0002449884,0.0012589263,0.03231816,0.003153602,0.022584237,0.0011220117,0.030679403,0.009923082,0.043386538,0.0027832482,0.01206954,0.0035456435,0.097755715,0.016379928,0.018301215,0.002837294,0.003705088,6.0983325e-06,0.0152531415,0.012957864,9.679942e-06,0.032203402,0.036712557,0.0047435816,0.023348952,0.0025599513,0.001478534,0.08908011,7.859058e-05,0.042847127
9,0.09461255,-0.045134168,-0.1508131,-0.03248485,0.03643064,0.09200591,0.063412294,-0.09107443,0.1107073,-0.040851858,0.09864305,0.042952448,0.13171373,-0.009394659,-0.11805156,0.014613653,-0.07447088,-0.03743053,0.061260466,-0.07520442,0.2353192,0.06754591,0.10215907,-0.03100224,0.21848918,-0.059440743,-0.02979318,0.13878697,0.004612525,-0.024792274,0.20879929,0.157868,0.04355982,0.10013758,0.16820303,0.15140931,0.09283531,-0.04672043,0.10059245,-0.049083076,0.046080362,0.03239054,0.011757768,0.004665943,0.0011731725,0.09053864,0.041620016,0.0115509005,0.1107073,0.0028414342,0.008588994,0.009895381,0.0019994345,0.017411506,0.034148797,0.0009229556,0.009180417,0.039600585,0.0038269802,0.006735036,0.12028816,0.04396508,0.023059579,0.021704046,0.026810024,0.011039848,0.0030516172,0.10042235,0.009048839,0.00078368717,0.059881106,0.16694471,0.08665034,0.0097347805,0.116979346,0.055996995,0.0031829954,0.0022815282,0.00060146,0.025646562
