,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.07257173,0.058012486,0.035233494,0.035265762,0.01349823,0.090789735,0.00054650265,0.001534179,0.007526005,0.024912946,0.0039065825,0.09079262,0.021521365,0.005764492,0.0020476948,0.007943407,0.010742944,0.05059112,0.01750025,0.12808676,0.13742724,-0.004379867,0.0078852875,0.004514833,0.077571735,0.053012487,0.035233494,0.04026576,0.02349823,0.07328974,0.00054650265,0.001534179,0.015026005,0.032412946,0.0014065827,0.08829262,0.031521365,0.000764492,0.0045476947,0.0029434063,0.020742944,0.04309112,2.508957e-07,0.13558675,0.13242725,0.0006201329,0.0028852876,0.009514833
2,0.0063298717,0.027281966,0.0029329024,0.08561271,-0.044094626,0.14890708,-0.0052317204,0.18326594,-0.046650074,-0.08495862,0.016006373,0.04733416,0.08601777,0.091282204,-0.015652122,0.04933323,-0.06613442,-0.08593316,-0.060355823,0.011301408,0.016713504,-0.0520634,-0.0025839992,0.066339225,0.0008780546,0.001986406,0.032309044,0.003989116,0.0025444953,0.08695834,0.011338725,0.14163408,0.0302098,0.00016937555,0.00021323362,0.040076822,0.0015434911,0.08992829,5.406339e-06,0.05864768,0.004259404,2.6608748e-05,0.0009366472,0.04000398,0.006465695,0.005216203,0.005127346,0.0040574335
3,0.09863222,-0.03658881,-0.1818702,0.065034315,0.02802068,0.09280704,0.00020076334,0.11490868,0.086803764,0.19132644,0.028726142,0.012160073,0.02304117,-0.08051811,0.024015885,0.092181996,-0.10355345,0.03353881,0.003265486,0.14443742,0.19199708,0.035243776,-0.07518021,-0.011433819,0.0027793918,0.0063777664,0.0061088237,0.0046219253,0.084468015,0.0020217428,0.050471745,0.017130109,0.016863821,0.046253823,0.015568837,0.001215885,0.007980299,0.02480027,0.0017853262,0.0375105,0.010930672,0.058976345,0.0005593719,0.010883278,0.07425077,0.00023320549,0.027511956,0.00034563674
4,0.104208075,0.032626428,0.07397389,0.049454026,-0.013293634,0.10138731,0.0095628565,0.004905262,-0.11282939,0.035573766,-0.009984397,-0.038353447,0.19593257,0.028536255,0.05436838,0.17992097,-0.15093671,0.096034124,-0.012351558,0.024700655,-0.13508263,-0.08983333,0.004422675,0.048769064,0.003536036,0.01585702,0.0073420643,4.2451978e-07,0.0009291177,0.074850194,0.0026638927,0.0019036245,0.0037159068,0.18601157,0.015068098,0.0060514663,0.006863507,0.0070315097,0.053848103,0.049811598,0.00022854899,0.008827221,0.004685089,0.026455063,0.019921549,0.02404578,6.510811e-06,0.02173199
5,0.20182481,0.07484733,-0.0032794047,0.052414954,-0.022873117,0.13323598,0.09686838,0.10741277,0.11018384,0.2103568,0.021932159,-0.08131207,-0.07949332,-0.10292468,0.012618286,0.14460175,0.033529133,0.16896145,0.11581578,0.16024818,-0.017362941,-0.010139532,-0.1600627,-0.041550133,0.062190894,0.026830269,0.028482324,0.10353661,0.01816711,0.017081464,0.124035314,0.0003044214,0.0076381015,0.035938565,0.008264999,0.023890687,0.0054648137,0.00022403509,0.005277478,0.0029147656,0.0205125,0.017298987,0.06783501,0.013167532,0.015494671,0.09400549,0.0022031406,0.0002086486
6,0.12887421,0.08969026,0.119598135,0.011939178,-0.048984166,0.074063346,-0.02161581,0.03447918,0.05297991,-0.12268107,0.08795196,-0.048804954,-0.06224773,0.13469955,-0.0023595989,0.187819,-0.13972661,0.08915912,0.10483827,-0.07172154,-0.17648959,-0.16164435,0.11967848,0.05170383,0.08685726,0.0052095335,0.07635615,0.011326122,0.01464698,0.010358191,0.021636322,0.022953114,0.0012319839,0.0038949137,0.02513698,0.00025582017,0.036792018,0.06260569,0.06738038,0.0022112767,0.014648027,0.0010923945,0.05331335,0.016803848,3.1104395e-05,0.008721632,0.28493991,0.05271747
7,0.11394983,0.07537215,-0.11349916,-0.096621916,-0.049210776,0.18850073,-0.04760672,0.058965325,0.2131818,0.19952285,0.17668955,-0.18743013,-0.2491493,-0.087631494,-0.087354586,0.016607642,0.09522421,0.25015444,0.04817614,0.23477103,0.045007367,-0.098139666,-0.046750236,-0.0768203,0.0034343647,0.030792588,0.08037282,0.031816814,0.0016039415,0.063009314,0.0022927213,0.048423607,0.036872175,0.0007319062,0.028198821,0.0001766874,0.026820777,0.041745227,0.056498274,0.028390385,0.009459252,0.18165766,0.007878281,0.02384753,0.003337664,0.00026843118,0.0014094074,0.0055608707
8,0.07738145,0.2619317,-0.053954493,-0.09648059,0.030951852,0.08609219,-0.015386768,-0.010287328,0.09200699,-0.14449263,0.20545879,0.010345352,0.0013234019,-0.12457772,-0.053549536,0.19168049,-0.04822441,0.0677781,0.2362552,0.05332987,-0.13720119,-0.11466563,-0.08610423,-0.015377648,0.04100414,0.13685447,0.05875176,0.012410561,0.02032697,0.016796252,0.0039061797,0.0020532028,0.03250299,0.034041133,0.0055554793,5.6740402e-05,0.118584484,0.007896815,0.08485418,0.10526298,0.0017215724,0.0010182954,0.02448731,0.0007733044,0.006591116,0.057895306,0.012177688,0.040234007
9,0.14920992,0.03987084,-0.19540569,0.011448026,-0.0067235753,-0.028282708,-0.0031927153,0.037896536,0.043567516,0.13305467,0.14756463,-0.106880605,-0.27546906,-0.07570414,0.0021706484,0.022400063,-0.03448478,0.22809377,0.1317378,0.1861954,-0.018482676,-0.10310888,-0.094484605,0.049601424,0.017213278,0.0059817894,0.026226126,0.0026210095,0.07600197,0.00079030165,0.022694133,0.040853936,0.0013416496,0.025938503,0.00911894,0.123197705,0.0062086033,0.015716117,0.051460687,0.008123557,0.0065600653,0.010693874,0.038596667,0.1482404,0.020138772,0.015641315,0.01918959,0.006202108
10,-0.08113322,0.12178703,0.015101589,0.025979046,-0.024482625,0.047386084,-0.014906315,0.07330538,0.0596193,-0.16262862,0.14397025,-0.097566515,-0.23895395,0.04024449,-0.19478074,0.1433383,-0.02053376,0.15662065,0.04016503,-0.08874911,-0.23710379,-0.06371556,-0.14711557,0.055004038,0.0039713853,0.0077401437,0.035292387,0.054323982,0.0011768077,0.041270744,0.0012851902,0.109230496,0.0014291132,0.012698988,0.00018451826,0.00069695467,0.01623076,0.036709305,0.00018274685,6.6127235e-05,0.013681356,0.096496426,0.00040799938,0.00039510778,0.006878697,0.15451992,0.012665699,0.0059195897
11,0.12325344,0.08310084,-0.26126498,0.033363666,-0.07315253,0.027397946,-0.049159255,0.018073238,0.27765584,0.1389215,0.28436053,-0.104710124,-0.27747375,-0.29441985,-0.14892934,0.019785238,0.06129111,-0.003979972,0.03337241,0.14706941,0.014399562,0.0015087388,-0.15294924,-0.16285914,0.004559783,0.004790511,0.05286121,0.0018871449,0.00073050935,0.041817866,2.3575438e-05,0.024189847,0.018991053,4.2226932e-07,0.03980814,0.08737969,0.0038500964,0.04055997,0.006648927,0.0011703064,0.0541061,0.007448455,0.0022733402,0.0024550527,0.036174033,0.055824205,0.03147093,0.0015752295
12,0.016499812,0.0023274568,-0.11585109,0.08145688,-0.043818474,-0.20883723,-0.037944462,-0.11680835,0.06633947,-0.19018133,0.2536223,-0.11251911,-0.10554752,0.013534151,0.13003403,0.1277883,-0.11841761,0.1821726,0.21271212,-0.05851829,-0.097821824,-0.076732844,-0.028375246,0.018474778,0.0037509222,0.004317443,0.00017877201,0.06922539,0.014413781,0.00013339249,0.027747933,0.008320605,0.046073098,0.0014946104,0.116744734,3.497195e-05,0.003923217,0.025718417,0.16239105,0.033385534,0.008740911,0.042514235,0.021796066,0.014256032,0.045436896,0.021614898,0.007016518,0.006287983
13,0.0012005216,0.10001214,-0.07866169,0.1716117,-0.039335907,0.014927341,-0.033740222,-0.1303614,0.13805069,0.1338628,0.22447316,-0.28439972,-0.36899504,-0.044048127,-0.16412148,-0.028843723,0.31706333,0.21294908,0.13219905,-0.012823954,-0.15497157,-0.13941549,0.009310216,-0.111295104,3.470328e-06,0.008925843,0.0049511218,0.23954758,0.002556259,0.0020187176,0.009115102,0.0072269565,1.6951135e-05,0.062817104,0.011831665,0.027227968,0.09019322,0.057104994,0.0002737322,0.00029710773,0.08522112,0.0024659547,0.0113098575,0.00063299993,0.016228676,0.010948643,0.0055020605,0.0011630085
14,-0.10302685,0.1416545,-0.07925386,-0.08557052,-0.1334083,-0.024378626,-0.08740421,-0.057436846,0.1334664,-0.045628708,0.24160625,0.010361992,-0.32993895,-0.029276263,-0.124211915,0.114273846,0.118844785,0.23687883,0.3724785,-0.036710955,-0.08688779,0.07909356,0.00061671704,-0.11450802,0.007415711,0.035179965,0.019596132,0.119573854,0.002403632,0.019005237,0.00016971094,0.004124828,0.0005265706,0.008019295,0.04509191,0.00090949243,0.016844554,0.062371742,0.007217667,3.5519402e-05,0.014792093,0.10070942,0.00015663079,0.00049821177,0.0035946993,0.021687377,0.00027498128,0.06911063
15,0.107311785,0.14730684,-0.16551541,-0.031513557,-0.027928606,-0.016512934,-0.06878668,-0.078920275,0.16056553,-0.09028886,0.39639202,-0.21477912,-0.38893014,-0.14422128,-0.18935105,-0.10991137,0.07106676,0.13501821,0.11291941,-0.004042983,-0.15457909,-0.063117154,0.018666921,-0.11775726,0.013019126,0.028867433,0.037468854,0.006018223,0.00011338756,0.013200759,0.011938457,2.2340814e-06,0.0042350036,0.029922515,0.103647135,0.0020153972,0.010825008,0.041823454,0.0021685108,0.0014056659,0.012375636,0.0075982097,0.0018770017,0.068775654,0.052429095,0.02291452,0.013435861,0.0055862684
