,x0,x1,x2,x3,x4,x5,x6,e0,e1,e2,e3,e4,e5,e6
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.045250367,0.004132436,0.047394354,0.0788411,0.015346589,0.0057850317,0.06731091,0.045250367,0.004132436,0.032394353,0.073841095,0.00034658893,0.0007850317,0.039810907
2,0.0030353577,0.07446269,0.13905735,0.02362448,0.058423664,0.03650573,0.12752114,0.0030353577,0.07446269,0.09467807,0.015951185,0.009772192,0.013880546,0.022515995
3,0.0083862,6.0378257e-05,0.08642517,0.039030183,0.04987153,0.015283504,0.23036203,0.0083862,6.0378257e-05,0.019128725,0.00981835,9.971057e-05,0.013765825,0.054697808
4,0.0015898373,3.752303e-05,0.027353246,0.037381563,0.03031205,0.0421661,0.21748443,0.0015898373,3.752303e-05,0.00016621324,0.012445797,5.7552345e-05,0.037972998,0.04422885
5,0.0012028283,0.037212577,0.09512609,0.015196023,0.0854373,0.017164676,0.17569532,0.0012028283,0.037212577,0.0553335,3.9997132e-05,0.05716807,0.016369756,0.013191234
6,0.0015524445,0.014285397,0.11484811,0.07756144,0.061324965,0.043676767,0.21063812,0.0015524445,0.014285397,0.08006147,0.034842793,0.021970905,0.043075353,0.036474183
7,0.07230394,0.017821016,0.07164146,0.031028952,0.057571225,0.0010290688,0.33154285,0.07230394,0.017821016,0.0038796563,0.0003664698,0.007582859,0.00025284654,0.11575696
8,0.004468036,1.4004444e-05,0.18653753,0.029657615,0.06460394,0.04240159,0.24402398,0.004468036,1.4004444e-05,0.16159801,0.00087200344,0.0015894012,0.0062496173,0.012572194
9,0.0041327463,0.008901561,0.08621976,0.047276415,0.055976618,0.030632759,0.18909241,0.0041327463,0.008901561,0.05018316,0.014974443,0.019573312,0.028398741,0.001924342
10,0.038407184,0.015902482,0.04609712,0.033714224,0.03786898,0.057887916,0.17842871,0.038407184,0.015902482,0.002691754,0.005725916,0.00010576767,0.05582154,0.006102538
11,0.0012484473,1.5232853e-06,0.06326301,0.07327028,0.09582958,0.020100227,0.16076,0.0012484473,1.5232853e-06,0.009510695,0.054335795,0.040282592,0.00089663523,0.0009266557
12,1.1232921e-05,0.076470524,0.054220818,0.055826657,0.10473221,0.011472912,0.2264037,1.1232921e-05,0.076470524,0.007534804,0.007911866,0.056807578,0.010848688,0.03812999
13,0.02571631,4.195892e-06,0.078146055,0.07477354,0.062459346,0.002193093,0.26888612,0.02571631,4.195892e-06,0.006261008,0.022407439,0.00032815125,0.0021874765,0.0012270489
14,0.0075181513,0.00085727265,0.039876077,0.06006746,0.0653172,0.0135670155,0.25890684,0.0075181513,0.00085727265,0.0013906627,0.028837787,0.017601501,0.00070886035,0.036602516
15,0.020354824,0.055057067,0.0719434,0.08557346,0.041461524,0.010680178,0.21284528,0.020354824,0.055057067,0.034697533,0.052914858,0.002750209,0.0069211023,0.0016479696
16,0.0016356127,0.076640464,0.16215041,0.07399273,0.11644561,0.014489901,0.29579535,0.0016356127,0.076640464,0.08649505,0.05326197,0.058075137,0.004312489,0.060499016
17,0.0034599197,0.0013934828,0.084117405,0.059221834,0.07143846,0.1359494,0.3406004,0.0034599197,0.0013934828,0.0015558609,0.000999028,0.00022847798,0.1351316,0.017882543
18,0.013134197,0.002819905,0.09839482,0.072804704,0.08854113,0.004493057,0.32328016,0.013134197,0.002819905,0.00011245974,0.03708547,0.019810379,0.0027630967,0.0378119
