,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t),x26(t),x27(t),x28(t),x0(t-1),x1(t-1),x2(t-1),x3(t-1),x4(t-1),x5(t-1),x6(t-1),x7(t-1),x8(t-1),x9(t-1),x10(t-1),x11(t-1),x12(t-1),x13(t-1),x14(t-1),x15(t-1),x16(t-1),x17(t-1),x18(t-1),x19(t-1),x20(t-1),x21(t-1),x22(t-1),x23(t-1),x24(t-1),x25(t-1),x26(t-1),x27(t-1),x28(t-1),e0(t),e1(t),e2(t),e3(t),e4(t),e5(t),e6(t),e7(t),e8(t),e9(t),e10(t),e11(t),e12(t),e13(t),e14(t),e15(t),e16(t),e17(t),e18(t),e19(t),e20(t),e21(t),e22(t),e23(t),e24(t),e25(t),e26(t),e27(t),e28(t)
0,0.0115527315,-0.002488707,0.007500714,0.0020953086,0.051885188,0.039465852,0.021887911,0.025476526,0.010362671,0.00019384734,0.0074958364,0.33042324,0.13895744,0.013646068,0.010335678,0.08227498,-0.01179343,0.014904076,0.02955956,-0.0014350057,0.02900512,0.2088168,0.038953025,0.016641025,0.0044542844,0.010628082,0.005732669,0.018258192,-0.0011930009,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0065527316,0.002511293,0.007500714,0.0020953086,0.06688519,0.046965852,0.021887911,0.022976527,0.010362671,0.010193847,0.012495836,0.32792324,0.12645744,0.0011460686,0.020335678,0.08227498,0.00820657,0.002404076,0.02955956,0.0010649943,0.01900512,0.19881679,0.043953024,0.006641024,0.011954284,0.0031280816,0.005732669,0.0057581933,0.001306999
1,0.022233857,0.0010214322,0.05182006,-0.004424073,-0.005750878,0.0012012024,0.008412592,0.0020794712,0.0058030183,-0.07015738,-0.20348765,0.05136057,0.17191307,0.096178725,-0.06357399,-0.08321881,-0.1551213,0.09632619,0.034616064,0.018033702,0.01957189,0.047579467,0.010234119,0.29107067,0.19229276,0.09029209,-0.06527987,0.07382769,-0.034255598,0.0115527315,-0.002488707,0.007500714,0.0020953086,0.051885188,0.039465852,0.021887911,0.025476526,0.010362671,0.00019384734,0.0074958364,0.33042324,0.13895744,0.013646068,0.010335678,0.08227498,-0.01179343,0.014904076,0.02955956,-0.0014350057,0.02900512,0.2088168,0.038953025,0.016641025,0.0044542844,0.010628082,0.005732669,0.018258192,-0.0011930009,0.012707383,0.006797798,0.05182006,0.015769942,0.019607263,6.772414e-05,0.025253262,0.0028911838,0.0058030183,0.0044891853,0.0007434153,0.05430893,0.0014399308,0.0026750301,8.019604e-06,0.005606763,0.008166478,0.03408059,0.006274835,0.00026594024,0.06434016,0.024265623,0.032567546,0.09718179,0.002117505,0.012282195,0.0002243903,0.00841625,0.0025862136
2,0.066400856,0.0038978038,0.017055323,0.0097762775,0.016087715,0.083680674,-0.08157969,-0.07646401,4.004447e-06,-0.040289715,-0.021293627,-0.008681646,0.21922615,0.15545896,0.012003338,-0.025401076,-0.091654204,0.2146065,0.13990435,0.0025578942,0.10520296,0.21231079,-0.0004823655,0.08849332,0.00083641475,0.0923101,-0.0324936,0.103771165,-0.1722093,0.022233857,0.0010214322,0.05182006,-0.004424073,-0.005750878,0.0012012024,0.008412592,0.0020794712,0.0058030183,-0.07015738,-0.20348765,0.05136057,0.17191307,0.096178725,-0.06357399,-0.08321881,-0.1551213,0.09632619,0.034616064,0.018033702,0.01957189,0.047579467,0.010234119,0.29107067,0.19229276,0.09029209,-0.06527987,0.07382769,-0.034255598,0.004497538,0.015014732,0.017055323,0.0058764857,0.03350355,0.03707169,0.00018725592,0.0004159223,4.004447e-06,0.013879828,8.501711e-05,0.030098679,0.014907977,0.0024312737,0.020399226,0.0050871833,0.0127224075,0.0041971128,0.012338393,0.008259056,1.1993248e-05,0.16630433,0.032516304,0.006950118,0.0066198497,0.033389173,0.013006536,0.048724946,0.0015647733
3,-0.033500843,-0.022424774,0.03604614,0.0077446518,0.062719055,0.06526812,0.0056279916,-0.041067336,0.1070601,-0.11499831,0.08107665,-0.01117179,0.05384165,0.11627652,-0.04297693,-0.01632044,-0.19874126,0.19886416,0.19235058,0.12487074,0.0016443748,0.0973571,-0.07699075,0.065879665,-0.045929924,0.08136063,-0.06200327,0.29686606,-0.17515168,0.066400856,0.0038978038,0.017055323,0.0097762775,0.016087715,0.083680674,-0.08157969,-0.07646401,4.004447e-06,-0.040289715,-0.021293627,-0.008681646,0.21922615,0.15545896,0.012003338,-0.025401076,-0.091654204,0.2146065,0.13990435,0.0025578942,0.10520296,0.21231079,-0.0004823655,0.08849332,0.00083641475,0.0923101,-0.0324936,0.103771165,-0.1722093,0.0047630114,0.010775654,0.03604614,0.006224522,0.13779196,0.00030909546,0.010665247,0.006383846,0.1070601,0.0006164307,0.1543439,0.011741761,0.001010664,0.0038314362,0.02080904,0.0054035224,0.023014203,0.0055350265,0.07003697,0.010038893,9.250082e-05,0.008717768,0.021170689,0.02078707,0.010223152,0.0011593082,0.024653085,0.15632208,0.01624805
4,0.06278673,0.05926936,0.05069386,0.11225751,0.042859077,0.08000233,-0.023687467,0.020648053,0.00011547232,-0.004307563,-0.008897534,-0.03524056,0.03823553,0.07355947,0.12753202,-0.053734213,0.049617726,0.23251516,0.05584507,-0.06895257,0.122165136,0.32906923,-0.19860554,0.016236521,0.17339575,-0.21003906,-0.003989488,0.16434002,-0.042829964,-0.033500843,-0.022424774,0.03604614,0.0077446518,0.062719055,0.06526812,0.0056279916,-0.041067336,0.1070601,-0.11499831,0.08107665,-0.01117179,0.05384165,0.11627652,-0.04297693,-0.01632044,-0.19874126,0.19886416,0.19235058,0.12487074,0.0016443748,0.0973571,-0.07699075,0.065879665,-0.045929924,0.08136063,-0.06200327,0.29686606,-0.17515168,0.020461196,0.04251894,0.05069386,0.011326757,0.10026903,0.0017944674,0.07849716,0.051359463,0.00011547232,0.0011247968,0.0021409898,0.014444754,0.012992814,0.0069874604,0.055082217,0.0009394677,0.0033362892,0.0033072128,0.020764027,0.006088124,9.235229e-05,0.014180464,0.0017206775,0.001414738,0.108861186,0.0032938875,0.050924625,0.06385448,0.00028775167
5,-0.04635292,-0.00096340105,0.0038357987,0.07041651,-0.17156443,0.07454928,0.06612351,-0.10151628,0.0035355333,-0.08285633,0.27317223,0.027005758,-0.08395532,0.033506416,-0.015730867,0.10567811,-0.0036515258,0.20918341,0.04719149,-0.028017666,0.24072489,0.09491642,0.075899415,0.069485694,-0.036795586,0.36645466,-0.03231263,0.05885449,0.042762194,0.06278673,0.05926936,0.05069386,0.11225751,0.042859077,0.08000233,-0.023687467,0.020648053,0.00011547232,-0.004307563,-0.008897534,-0.03524056,0.03823553,0.07355947,0.12753202,-0.053734213,0.049617726,0.23251516,0.05584507,-0.06895257,0.122165136,0.32906923,-0.19860554,0.016236521,0.17339575,-0.21003906,-0.003989488,0.16434002,-0.042829964,0.003909898,0.030429963,0.0038357987,0.0055900216,0.018783176,0.07422674,0.029470915,0.015186035,0.0035355333,2.7450666e-05,0.043722577,0.014601327,5.5945966e-05,0.03088397,0.02819576,0.0068670325,0.061990652,0.00025983524,0.001206617,0.006456655,0.02294943,0.016159505,0.16917494,0.011577267,0.27658996,0.10753901,0.0078852875,0.00026372416,0.0012664022
6,0.04364111,0.03361294,0.068476416,-0.04877911,-0.044511642,-0.012083095,-0.033124976,0.23084337,0.0048441873,0.10882346,-0.0020874292,0.013241136,0.22016399,0.098805316,0.089092314,0.045961805,0.072129905,0.11902103,-0.08287038,0.15017098,0.33449483,0.07834749,0.005596837,0.33275124,-0.025014393,0.09508292,-0.0843119,0.20883997,0.014912506,-0.04635292,-0.00096340105,0.0038357987,0.07041651,-0.17156443,0.07454928,0.06612351,-0.10151628,0.0035355333,-0.08285633,0.27317223,0.027005758,-0.08395532,0.033506416,-0.015730867,0.10567811,-0.0036515258,0.20918341,0.04719149,-0.028017666,0.24072489,0.09491642,0.075899415,0.069485694,-0.036795586,0.36645466,-0.03231263,0.05885449,0.042762194,0.00079602405,0.010436482,0.068476416,0.0031794284,0.0014564913,0.0075136847,0.0017625384,0.03113786,0.0048441873,0.058980376,0.072391525,0.014154018,0.045554366,0.00054141006,0.04528889,0.040745534,0.16700082,0.0055770655,0.011946338,0.032725036,0.17307527,0.0003802707,5.658731e-09,0.01843043,0.0010737813,0.00044633902,1.259007e-05,0.017972374,0.006682682
7,-0.025699545,-0.015942289,0.14918858,0.09169884,-0.20496346,-0.021132242,0.058619574,-0.15147099,0.0012853842,-0.1497462,0.030276109,0.031001294,0.010436772,0.069054276,-0.01407662,0.11290962,-0.30115896,0.19923256,0.08712708,0.030060396,0.018255137,0.043823875,0.03328063,-0.06985367,-0.16850106,0.15332532,0.03750536,0.22444315,-0.12234809,0.04364111,0.03361294,0.068476416,-0.04877911,-0.044511642,-0.012083095,-0.033124976,0.23084337,0.0048441873,0.10882346,-0.0020874292,0.013241136,0.22016399,0.098805316,0.089092314,0.045961805,0.072129905,0.11902103,-0.08287038,0.15017098,0.33449483,0.07834749,0.005596837,0.33275124,-0.025014393,0.09508292,-0.0843119,0.20883997,0.014912506,0.0011708929,0.0058782655,0.14918858,0.019411763,0.014514898,0.0014974923,0.0059921322,0.003408367,0.0012853842,0.0048819664,0.0018143583,0.012968818,0.0024178175,0.010187003,0.13207033,0.0070083183,0.0005532002,0.0019863746,2.5992676e-05,0.044261403,0.0084845135,0.00023753996,2.3106644e-05,0.0050714845,0.004185,0.057749525,0.04857803,0.0028446543,0.0027645912
8,0.18628812,0.017692946,0.032449044,0.0059761168,-0.012059087,0.17834863,-0.17968734,0.13709164,0.06423779,0.0043350663,-0.24792673,-0.07203106,0.035022788,0.045150653,0.1469199,0.11300397,0.082466416,0.0707595,-0.047033954,0.092348374,0.094283424,0.17454511,-0.08532982,0.012553841,0.20130087,-0.2520764,-0.047640838,0.17775047,-0.029790428,-0.025699545,-0.015942289,0.14918858,0.09169884,-0.20496346,-0.021132242,0.058619574,-0.15147099,0.0012853842,-0.1497462,0.030276109,0.031001294,0.010436772,0.069054276,-0.01407662,0.11290962,-0.30115896,0.19923256,0.08712708,0.030060396,0.018255137,0.043823875,0.03328063,-0.06985367,-0.16850106,0.15332532,0.03750536,0.22444315,-0.12234809,0.07534573,0.004843173,0.032449044,0.007586234,0.0047833896,0.08324035,0.00020191849,0.018227994,0.06423779,0.0025151426,0.006999531,0.0032586814,0.026496585,0.009572855,0.0015588141,0.0203114,0.05861131,0.0033288028,0.004202469,0.020428203,0.0024831546,0.0052675325,0.00014552695,0.0343583,0.027899224,0.00022126299,0.010772101,0.0023512128,0.0138027845
9,-0.034770466,-0.07690567,0.0024583696,0.09058981,-0.17693482,0.039606176,0.1484607,-0.10223399,6.2420954e-06,-0.08365479,0.2216823,0.07268989,-0.07559562,0.0072407057,-0.050491974,0.013203722,0.007875863,0.17749806,-0.0036595687,-0.01355163,0.109130464,0.13602673,-0.013703811,-0.12837353,-0.18078366,0.14549339,0.11931161,0.123321466,-0.0835105,0.18628812,0.017692946,0.032449044,0.0059761168,-0.012059087,0.17834863,-0.17968734,0.13709164,0.06423779,0.0043350663,-0.24792673,-0.07203106,0.035022788,0.045150653,0.1469199,0.11300397,0.082466416,0.0707595,-0.047033954,0.092348374,0.094283424,0.17454511,-0.08532982,0.012553841,0.20130087,-0.2520764,-0.047640838,0.17775047,-0.029790428,0.11230863,0.016238391,0.0024583696,0.0017507109,0.00045069473,0.0072998377,0.01738383,0.00057184795,6.2420954e-06,0.00731656,0.049842726,0.05207329,0.012695591,0.0055249673,0.00825263,0.0060607092,0.016668562,0.0026330845,0.035331022,0.012231024,0.031486407,0.13169363,0.00059606164,0.01538005,0.18627593,0.010265597,0.0004438364,0.01771905,0.0052542174
